GET /api/map/technique-stacking-layers/transect?points=x,z;x,z — south to north through each gallery.
`ground` is the standable height, one over the top block.
  (  -10,   -33)      16       16           16                      
  (  -10,   -34)      16       16           16                      
  (  -10,   -35)      16       16           16                      
  (  -10,   -36)      16       16           16                      
  (  -10,   -37)      16       16           16                      
  (  -10,   -38)      16       16           16                      
  (  -10,   -39)      16       16           16                      
  (  -10,   -40)      16       16           16                      
  (  -10,   -41)      14       14           14                      -2
  (  -10,   -42)      14       14           14                      
  (  -10,   -43)      14       14           14                      
  (  -10,   -44)      14       14           14                      
  (  -10,   -45)      14       14           14                      
  (  -10,   -46)      14       14           14                      
  (  -10,   -47)      14       14           14                      
  (  -10,   -48)      14       14           14                      
  (  -10,   -49)      14       14           14                      
  (  -10,   -50)      14       14           14                      
rises 1, falls 1, worst step 2: 0 barrier, 1 scramble, 0 drop — scramble +2 at (-10, -30) | walked end to end

### driven
TRANSECT 43 stations from (68, -8) to (68, -50), every 1
  station        ground  surface  water  top  standing            step
  (   68,    -8)      14       14           14                      
  (   68,    -9)      14       14           14                      
  (   68,   -10)      14       14           14                      
  (   68,   -11)      14       14           14                      
  (   68,   -12)      14       14           14                      
  (   68,   -13)      14       14           14                      
  (   68,   -14)      14       14           14                      
  (   68,   -15)      14       14           14                      
  (   68,   -16)      14       14           14                      
  (   68,   -17)      14       14           14                      
  (   68,   -18)      14       14           14                      
  (   68,   -19)      14       14           14                      
  (   68,   -20)      14       14           14                      
  (   68,   -21)      14       14           14                      
  (   68,   -22)      14       14           14                      
  (   68,   -23)      14       14           14                      
  (   68,   -24)      14       14           14                      
  (   68,   -25)      14       14           14                      
  (   68,   -26)      14       14           14                      
  (   68,   -27)      14       14           14                      
  (   68,   -28)      14       14           14                      
  (   68,   -29)      14       14           14                      
  (   68,   -30)      19       19           19                      BARRIER +5
  (   68,   -31)      19       19           19                      
  (   68,   -32)      19       19           19                      
  (   68,   -33)      19       19           19                      
  (   68,   -34)      19       19           19                      
  (   68,   -35)      19       19           19                      
  (   68,   -36)      19       19           19                      
  (   68,   -37)      19       19           19                      
  (   68,   -38)      19       19           19                      
  (   68,   -39)      19       19           19                      
  (   68,   -40)      19       19           19                      
  (   68,   -41)      14       14           14                      DROP -5
  (   68,   -42)      14       14           14                      
  (   68,   -43)      14       14           14                      
  (   68,   -44)      14       14           14                      
  (   68,   -45)      14       14           14                      
  (   68,   -46)      14       14           14                      
  (   68,   -47)      14       14           14                      
  (   68,   -48)      14       14           14                      
  (   68,   -49)      14       14           14                      
  (   68,   -50)      14       14           14                      
rises 1, falls 1, worst step 5: 1 barrier, 0 scramble, 1 drop — BARRIER +5 at (68, -30); DROP -5 at (68, -41) | walked end to end

### stair-meets — the stair climbing onto the roof
TRANSECT 41 stations from (-68, 50) to (-68, 10), every 1
  station        ground  surface  water  top  standing            step
  (  -68,    50)      14       14           14                      
  (  -68,    49)      14       14           14                      
  (  -68,    48)      14       14           14                      
  (  -68,    47)      14       14           14                      
  (  -68,    46)      14       14           14                      
  (  -68,    45)      14       14           14                      
  (  -68,    44)      14       14           14                      
  (  -68,    43)      15       15           15                      +1
  (  -68,    42)      15       15           15                      
  (  -68,    41)      15       15           15                      
  (  -68,    40)      16       16           16                      +1
  (  -68,    39)      16       16           16                      
  (  -68,    38)      16       16           16                      
  (  -68,    37)      17       17           17                      +1
  (  -68,    36)      17       17           17                      
  (  -68,    35)      17       17           17                      
  (  -68,    34)      18       18           18                      +1
  (  -68,    33)      18       18           18                      
  (  -68,    32)      18       18           18                      
  (  -68,    31)      19       19           19                      +1
  (  -68,    30)      19       19           19                      
  (  -68,    29)      19       19           19                      
  (  -68,    28)      20       20           20                      +1
  (  -68,    27)      20       20           20                      
  (  -68,    26)      20       20           20                      
  (  -68,    25)      20       20           20                      
  (  -68,    24)      20       20           20                      
  (  -68,    23)      20       20           20                      
  (  -68,    22)      20       20           20                      
  (  -68,    21)      20       20           20                      
  (  -68,    20)      20       20           20                      
  (  -68,    19)      20       20           20                      
  (  -68,    18)      20       20           20                      
  (  -68,    17)      14       14           14                      DROP -6
  (  -68,    16)      14       14           14                      
  (  -68,    15)      14       14           14                      
  (  -68,    14)      14       14           14                      
  (  -68,    13)      14       14           14                      
  (  -68,    12)      14       14           14                      
  (  -68,    11)      14       14           14                      
  (  -68,    10)      14       14           14                      
rises 6, falls 1, worst step 6: 0 barrier, 0 scramble, 1 drop — DROP -6 at (-68, 17) | walked end to end

### stair-short — the same stair a column short
TRANSECT 41 stations from (10, 50) to (10, 10), every 1
  station        ground  surface  water  top  standing            step
  (   10,    50)      14       14           14                      
  (   10,    49)      14       14           14                      
  (   10,    48)      14       14           14                      
  (   10,    47)      14       14           14                      
  (   10,    46)      14       14           14                      
  (   10,    45)      14       14           14                      
  (   10,    44)      14       14           14                      
  (   10,    43)      15       15           15                      +1
  (   10,    42)      15       15           15                      
  (   10,    41)      15       15           15                      
  (   10,    40)      16       16           16                      +1
  (   10,    39)      16       16           16                      
  (   10,    38)      17       17           17                      +1
  (   10,    37)      17       17           17                      
  (   10,    36)      17       17           17                      
  (   10,    35)      18       18           18                      +1
  (   10,    34)      18       18           18                      
  (   10,    33)      18       18           18                      
  (   10,    32)      19       19           19                      +1
  (   10,    31)      19       19           19                      
  (   10,    30)      19       19           19                      
  (   10,    29)      14       14           14                      DROP -5
  (   10,    28)      20       20           20                      BARRIER +6
  (   10,    27)      20       20           20                      
  (   10,    26)      20       20           20                      
  (   10,    25)      20       20           20                      
  (   10,    24)      20       20           20                      
  (   10,    23)      20       20           20                      
  (   10,    22)      20       20           20                      
  (   10,    21)      20       20           20                      
  (   10,    20)      20       20           20                      
  (   10,    19)      20       20           20                      
  (   10,    18)      20       20           20                      
  (   10,    17)      14       14           14                      DROP -6
  (   10,    16)      14       14           14                      
  (   10,    15)      14       14           14                      
  (   10,    14)      14       14           14                      
  (   10,    13)      14       14           14                      
  (   10,    12)      14       14           14                      
  (   10,    11)      14       14           14                      
  (   10,    10)      14       14           14                      
rises 6, falls 2, worst step 6: 1 barrier, 0 scramble, 2 drop — DROP -5 at (10, 29); BARRIER +6 at (10, 28); DROP -6 at (10, 17) | walked end to end

### two-storeys
TRANSECT 43 stations from (68, 50) to (68, 8), every 1
  station        ground  surface  water  top  standing            step
  (   68,    50)      14       14           14                      
  (   68,    49)      14       14           14                      
  (   68,    48)      14       14           14                      
  (   68,    47)      14       14           14                      
  (   68,    46)      14       14           14                      
  (   68,    45)      14       14           14                      
  (   68,    44)      14       14           14                      
  (   68,    43)      14       14           14                      
  (   68,    42)      14       14           14                      
  (   68,    41)      14       14           14                      
  (   68,    40)      14       14           14                      
  (   68,    39)      14       14           14                      
  (   68,    38)      14       14           14                      
  (   68,    37)      14       14           14                      
  (   68,    36)      14       14           14                      
  (   68,    35)      14       14           14                      
  (   68,    34)      14       14           14                      
  (   68,    33)      14       14           14                      
  (   68,    32)      14       14           14                      
  (   68,    31)      14       14           14                      
  (   68,    30)      14       14           14                      
  (   68,    29)      14       14           14                      
  (   68,    28)      26       26           26                      BARRIER +12
  (   68,    27)      26       26           26                      
  (   68,    26)      26       26           26                      
  (   68,    25)      26       26           26                      
  (   68,    24)      26       26           26                      
  (   68,    23)      26       26           26                      
  (   68,    22)      26       26           26                      
  (   68,    21)      26       26           26                      
  (   68,    20)      26       26           26                      
  (   68,    19)      26       26           26                      
  (   68,    18)      26       26           26                      
  (   68,    17)      14       14           14                      DROP -12
  (   68,    16)      14       14           14                      
  (   68,    15)      14       14           14                      
  (   68,    14)      14       14           14                      
  (   68,    13)      14       14           14                      
  (   68,    12)      14       14           14                      
  (   68,    11)      14       14           14                      
  (   68,    10)      14       14           14                      
  (   68,     9)      14       14           14                      
  (   68,     8)      14       14           14                      
rises 1, falls 1, worst step 12: 1 barrier, 0 scramble, 1 drop — BARRIER +12 at (68, 28); DROP -12 at (68, 17) | walked end to end

