GET /api/map/technique-pushes/transect?points=x,z;x,z — one line through each panel, plus the one
across the ridge. Every panel is a 96x76 island whose unmarked field settles at 8.

### plateau: the mesa, west to east
TRANSECT 93 stations from (-211, -45) to (-119, -45), every 1
  station        ground  surface  water  top  standing            step
  ( -159,   -45)      30       30           30                      
  ( -158,   -45)      30       30           30                      
  ( -157,   -45)      30       30           30                      
  ( -156,   -45)      30       30           30                      
  ( -155,   -45)      30       30           30                      
  ( -154,   -45)      30       30           30                      
  ( -153,   -45)      30       30           30                      
  ( -152,   -45)      30       30           30                      
  ( -151,   -45)      30       30           30                      
  ( -150,   -45)      30       30           30                      
  ( -149,   -45)      30       30           30                      
  ( -148,   -45)      30       30           30                      
  ( -147,   -45)      30       30           30                      
  ( -146,   -45)      30       30           30                      
  ( -145,   -45)      30       30           30                      
  ( -144,   -45)      30       30           30                      
  ( -143,   -45)      30       30           30                      
  ( -142,   -45)      29       29           29                      -1
  ( -141,   -45)      27       27           27                      -2
  ( -140,   -45)      26       26           26                      -1
  ( -139,   -45)      24       24           24                      -2
  ( -138,   -45)      21       21           21                      -3
  ( -137,   -45)      19       19           19                      -2
  ( -136,   -45)      17       17           17                      -2
  ( -135,   -45)      14       14           14                      -3
  ( -134,   -45)      12       12           12                      -2
  ( -133,   -45)      11       11           11                      -1
  ( -132,   -45)       9        9            9                      -2
  ( -131,   -45)       8        8            8                      -1
  ( -130,   -45)       8        8            8                      
  ( -129,   -45)       8        8            8                      
  ( -128,   -45)       8        8            8                      
  ( -127,   -45)       8        8            8                      
  ( -126,   -45)       8        8            8                      
  ( -125,   -45)       8        8            8                      
  ( -124,   -45)       8        8            8                      
  ( -123,   -45)       8        8            8                      
  ( -122,   -45)       8        8            8                      
  ( -121,   -45)       8        8            8                      
  ( -120,   -45)       8        8            8                      
  ( -119,   -45)       8        8            8                      
rises 12, falls 12, worst step 3: 2 barrier, 6 scramble, 0 drop — scramble +2 at (-192, -45); scramble +2 at (-191, -45); BARRIER +3 at (-189, -45); scramble +2 at (-188, -45); scramble +2 at (-187, -45); BARRIER +3 at (-186, -45); scramble +2 at (-185, -45); scramble +2 at (-183, -45) | walked end to end

### dome: the crowned hill, west to east
TRANSECT 93 stations from (-101, -45) to (-9, -45), every 1
  station        ground  surface  water  top  standing            step
  ( -101,   -45)       8        8            8                      
  ( -100,   -45)       8        8            8                      
  (  -99,   -45)       8        8            8                      
  (  -98,   -45)       8        8            8                      
  (  -97,   -45)       8        8            8                      
  (  -96,   -45)       8        8            8                      
  (  -95,   -45)       8        8            8                      
  (  -94,   -45)       8        8            8                      
  (  -93,   -45)       8        8            8                      
  (  -92,   -45)       8        8            8                      
  (  -91,   -45)       8        8            8                      
  (  -90,   -45)       8        8            8                      
  (  -89,   -45)       8        8            8                      
  (  -88,   -45)       8        8            8                      
  (  -87,   -45)       9        9            9                      +1
  (  -86,   -45)      10       10           10                      +1
  (  -85,   -45)      11       11           11                      +1
  (  -84,   -45)      13       13           13                      scramble +2
  (  -83,   -45)      14       14           14                      +1
  (  -82,   -45)      16       16           16                      scramble +2
  (  -81,   -45)      18       18           18                      scramble +2
  (  -80,   -45)      19       19           19                      +1
  (  -79,   -45)      21       21           21                      scramble +2
  (  -78,   -45)      22       22           22                      +1
  (  -77,   -45)      23       23           23                      +1
  (  -76,   -45)      24       24           24                      +1
  (  -75,   -45)      24       24           24                      
  (  -74,   -45)      24       24           24                      
  (  -73,   -45)      25       25           25                      +1
  (  -72,   -45)      25       25           25                      
  (  -71,   -45)      26       26           26                      +1
  (  -70,   -45)      27       27           27                      +1
  (  -69,   -45)      28       28           28                      +1
  (  -68,   -45)      29       29           29                      +1
  (  -67,   -45)      30       30           30                      +1
  (  -66,   -45)      31       31           31                      +1
  (  -65,   -45)      32       32           32                      +1
  (  -64,   -45)      33       33           33                      +1
  (  -63,   -45)      34       34           34                      +1
  (  -62,   -45)      35       35           35                      +1
  (  -61,   -45)      36       36           36                      +1
  (  -60,   -45)      37       37           37                      +1
  (  -59,   -45)      37       37           37                      
  (  -58,   -45)      38       38           38                      +1
  (  -57,   -45)      38       38           38                      
  (  -56,   -45)      38       38           38                      
  (  -55,   -45)      38       38           38                      
  (  -54,   -45)      38       38           38                      
  (  -53,   -45)      38       38           38                      
  (  -52,   -45)      37       37           37                      -1
  (  -51,   -45)      37       37           37                      
  (  -50,   -45)      36       36           36                      -1
  (  -49,   -45)      35       35           35                      -1
  (  -48,   -45)      34       34           34                      -1
  (  -47,   -45)      33       33           33                      -1
  (  -46,   -45)      32       32           32                      -1
  (  -45,   -45)      31       31           31                      -1
  (  -44,   -45)      30       30           30                      -1
  (  -43,   -45)      29       29           29                      -1
  (  -42,   -45)      28       28           28                      -1
  (  -41,   -45)      27       27           27                      -1
  (  -40,   -45)      26       26           26                      -1
  (  -39,   -45)      25       25           25                      -1
  (  -38,   -45)      25       25           25                      
  (  -37,   -45)      24       24           24                      -1
  (  -36,   -45)      24       24           24                      
  (  -35,   -45)      24       24           24                      
  (  -34,   -45)      23       23           23                      -1
  (  -33,   -45)      22       22           22                      -1
  (  -32,   -45)      21       21           21                      -1
  (  -31,   -45)      19       19           19                      -2
  (  -30,   -45)      18       18           18                      -1
  (  -29,   -45)      16       16           16                      -2
  (  -28,   -45)      14       14           14                      -2
  (  -27,   -45)      13       13           13                      -1
  (  -26,   -45)      11       11           11                      -2
  (  -25,   -45)      10       10           10                      -1
  (  -24,   -45)       9        9            9                      -1
  (  -23,   -45)       8        8            8                      -1
  (  -22,   -45)       8        8            8                      
  (  -21,   -45)       8        8            8                      
  (  -20,   -45)       8        8            8                      
  (  -19,   -45)       8        8            8                      
  (  -18,   -45)       8        8            8                      
  (  -17,   -45)       8        8            8                      
  (  -16,   -45)       8        8            8                      
  (  -15,   -45)       8        8            8                      
  (  -14,   -45)       8        8            8                      
  (  -13,   -45)       8        8            8                      
  (  -12,   -45)       8        8            8                      
  (  -11,   -45)       8        8            8                      
  (  -10,   -45)       8        8            8                      
  (   -9,   -45)       8        8            8                      
rises 26, falls 26, worst step 2: 0 barrier, 4 scramble, 0 drop — scramble +2 at (-84, -45); scramble +2 at (-82, -45); scramble +2 at (-81, -45); scramble +2 at (-79, -45) | walked end to end

### ridge: along the crest, west to east
TRANSECT 93 stations from (9, -45) to (101, -45), every 1
  station        ground  surface  water  top  standing            step
  (    9,   -45)       8        8            8                      
  (   10,   -45)       8        8            8                      
  (   11,   -45)       8        8            8                      
  (   12,   -45)       9        9            9                      +1
  (   13,   -45)      11       11           11                      scramble +2
  (   14,   -45)      12       12           12                      +1
  (   15,   -45)      14       14           14                      scramble +2
  (   16,   -45)      16       16           16                      scramble +2
  (   17,   -45)      18       18           18                      scramble +2
  (   18,   -45)      20       20           20                      scramble +2
  (   19,   -45)      22       22           22                      scramble +2
  (   20,   -45)      22       22           22                      
  (   21,   -45)      23       23           23                      +1
  (   22,   -45)      23       23           23                      
  (   23,   -45)      23       23           23                      
  (   24,   -45)      24       24           24                      +1
  (   25,   -45)      24       24           24                      
  (   26,   -45)      24       24           24                      
  (   27,   -45)      24       24           24                      
  (   28,   -45)      24       24           24                      
  (   29,   -45)      24       24           24                      
  (   30,   -45)      24       24           24                      
  (   31,   -45)      24       24           24                      
  (   32,   -45)      24       24           24                      
  (   33,   -45)      25       25           25                      +1
  (   34,   -45)      25       25           25                      
  (   35,   -45)      25       25           25                      
  (   36,   -45)      25       25           25                      
  (   37,   -45)      25       25           25                      
  (   38,   -45)      26       26           26                      +1
  (   39,   -45)      26       26           26                      
  (   40,   -45)      27       27           27                      +1
  (   41,   -45)      27       27           27                      
  (   42,   -45)      27       27           27                      
  (   43,   -45)      27       27           27                      
  (   44,   -45)      28       28           28                      +1
  (   45,   -45)      28       28           28                      
  (   46,   -45)      28       28           28                      
  (   47,   -45)      29       29           29                      +1
  (   48,   -45)      29       29           29                      
  (   49,   -45)      29       29           29                      
  (   50,   -45)      29       29           29                      
  (   51,   -45)      29       29           29                      
  (   52,   -45)      30       30           30                      +1
  (   53,   -45)      30       30           30                      
  (   54,   -45)      30       30           30                      
  (   55,   -45)      30       30           30                      
  (   56,   -45)      30       30           30                      
  (   57,   -45)      30       30           30                      
  (   58,   -45)      30       30           30                      
  (   59,   -45)      30       30           30                      
  (   60,   -45)      30       30           30                      
  (   61,   -45)      30       30           30                      
  (   62,   -45)      30       30           30                      
  (   63,   -45)      29       29           29                      -1
  (   64,   -45)      29       29           29                      
  (   65,   -45)      29       29           29                      
  (   66,   -45)      29       29           29                      
  (   67,   -45)      28       28           28                      -1
  (   68,   -45)      28       28           28                      
  (   69,   -45)      28       28           28                      
  (   70,   -45)      28       28           28                      
  (   71,   -45)      27       27           27                      -1
  (   72,   -45)      27       27           27                      
  (   73,   -45)      27       27           27                      
  (   74,   -45)      27       27           27                      
  (   75,   -45)      26       26           26                      -1
  (   76,   -45)      26       26           26                      
  (   77,   -45)      25       25           25                      -1
  (   78,   -45)      25       25           25                      
  (   79,   -45)      25       25           25                      
  (   80,   -45)      25       25           25                      
  (   81,   -45)      25       25           25                      
  (   82,   -45)      24       24           24                      -1
  (   83,   -45)      24       24           24                      
  (   84,   -45)      24       24           24                      
  (   85,   -45)      24       24           24                      
  (   86,   -45)      24       24           24                      
  (   87,   -45)      24       24           24                      
  (   88,   -45)      24       24           24                      
  (   89,   -45)      23       23           23                      -1
  (   90,   -45)      22       22           22                      -1
  (   91,   -45)      21       21           21                      -1
  (   92,   -45)      19       19           19                      -2
  (   93,   -45)      17       17           17                      -2
  (   94,   -45)      15       15           15                      -2
  (   95,   -45)      13       13           13                      -2
  (   96,   -45)      11       11           11                      -2
  (   97,   -45)      10       10           10                      -1
  (   98,   -45)       9        9            9                      -1
  (   99,   -45)       8        8            8                      -1
  (  100,   -45)       8        8            8                      
  (  101,   -45)       8        8            8                      
rises 16, falls 17, worst step 2: 0 barrier, 6 scramble, 0 drop — scramble +2 at (13, -45); scramble +2 at (15, -45); scramble +2 at (16, -45); scramble +2 at (17, -45); scramble +2 at (18, -45); scramble +2 at (19, -45) | walked end to end

### ridge: ACROSS the crest, north to south
TRANSECT 73 stations from (55, -81) to (55, -9), every 1
  station        ground  surface  water  top  standing            step
  (   55,   -81)       8        8            8                      
  (   55,   -80)       8        8            8                      
  (   55,   -79)       8        8            8                      
  (   55,   -78)       8        8            8                      
  (   55,   -77)       8        8            8                      
  (   55,   -76)       8        8            8                      
  (   55,   -75)       8        8            8                      
  (   55,   -74)       8        8            8                      
  (   55,   -73)       8        8            8                      
  (   55,   -72)       8        8            8                      
  (   55,   -71)       8        8            8                      
  (   55,   -70)       8        8            8                      
  (   55,   -69)       8        8            8                      
  (   55,   -68)       8        8            8                      
  (   55,   -67)       8        8            8                      
  (   55,   -66)       8        8            8                      
  (   55,   -65)       8        8            8                      
  (   55,   -64)       8        8            8                      
  (   55,   -63)       8        8            8                      
  (   55,   -62)       8        8            8                      
  (   55,   -61)       9        9            9                      +1
  (   55,   -60)      10       10           10                      +1
  (   55,   -59)      12       12           12                      scramble +2
  (   55,   -58)      14       14           14                      scramble +2
  (   55,   -57)      16       16           16                      scramble +2
  (   55,   -56)      18       18           18                      scramble +2
  (   55,   -55)      20       20           20                      scramble +2
  (   55,   -54)      22       22           22                      scramble +2
  (   55,   -53)      23       23           23                      +1
  (   55,   -52)      24       24           24                      +1
  (   55,   -51)      24       24           24                      
  (   55,   -50)      25       25           25                      +1
  (   55,   -49)      27       27           27                      scramble +2
  (   55,   -48)      28       28           28                      +1
  (   55,   -47)      29       29           29                      +1
  (   55,   -46)      30       30           30                      +1
  (   55,   -45)      30       30           30                      
  (   55,   -44)      29       29           29                      -1
  (   55,   -43)      28       28           28                      -1
  (   55,   -42)      27       27           27                      -1
  (   55,   -41)      25       25           25                      -2
  (   55,   -40)      24       24           24                      -1
  (   55,   -39)      24       24           24                      
  (   55,   -38)      23       23           23                      -1
  (   55,   -37)      22       22           22                      -1
  (   55,   -36)      20       20           20                      -2
  (   55,   -35)      18       18           18                      -2
  (   55,   -34)      16       16           16                      -2
  (   55,   -33)      14       14           14                      -2
  (   55,   -32)      12       12           12                      -2
  (   55,   -31)      11       11           11                      -1
  (   55,   -30)       9        9            9                      -2
  (   55,   -29)       8        8            8                      -1
  (   55,   -28)       8        8            8                      
  (   55,   -27)       8        8            8                      
  (   55,   -26)       8        8            8                      
  (   55,   -25)       8        8            8                      
  (   55,   -24)       8        8            8                      
  (   55,   -23)       8        8            8                      
  (   55,   -22)       8        8            8                      
  (   55,   -21)       8        8            8                      
  (   55,   -20)       8        8            8                      
  (   55,   -19)       8        8            8                      
  (   55,   -18)       8        8            8                      
  (   55,   -17)       8        8            8                      
  (   55,   -16)       8        8            8                      
  (   55,   -15)       8        8            8                      
  (   55,   -14)       8        8            8                      
  (   55,   -13)       8        8            8                      
  (   55,   -12)       8        8            8                      
  (   55,   -11)       8        8            8                      
  (   55,   -10)       8        8            8                      
  (   55,    -9)       8        8            8                      
rises 15, falls 15, worst step 2: 0 barrier, 7 scramble, 0 drop — scramble +2 at (55, -59); scramble +2 at (55, -58); scramble +2 at (55, -57); scramble +2 at (55, -56); scramble +2 at (55, -55); scramble +2 at (55, -54); scramble +2 at (55, -49) | walked end to end

### spur: along the fall, west to east
TRANSECT 93 stations from (119, -45) to (211, -45), every 1
  station        ground  surface  water  top  standing            step
  (  119,   -45)       8        8            8                      
  (  120,   -45)       8        8            8                      
  (  121,   -45)       8        8            8                      
  (  122,   -45)       8        8            8                      
  (  123,   -45)       8        8            8                      
  (  124,   -45)       8        8            8                      
  (  125,   -45)       8        8            8                      
  (  126,   -45)       9        9            9                      +1
  (  127,   -45)       9        9            9                      
  (  128,   -45)      10       10           10                      +1
  (  129,   -45)      10       10           10                      
  (  130,   -45)      11       11           11                      +1
  (  131,   -45)      12       12           12                      +1
  (  132,   -45)      12       12           12                      
  (  133,   -45)      13       13           13                      +1
  (  134,   -45)      13       13           13                      
  (  135,   -45)      14       14           14                      +1
  (  136,   -45)      14       14           14                      
  (  137,   -45)      14       14           14                      
  (  138,   -45)      14       14           14                      
  (  139,   -45)      14       14           14                      
  (  140,   -45)      14       14           14                      
  (  141,   -45)      14       14           14                      
  (  142,   -45)      14       14           14                      
  (  143,   -45)      14       14           14                      
  (  144,   -45)      14       14           14                      
  (  145,   -45)      15       15           15                      +1
  (  146,   -45)      15       15           15                      
  (  147,   -45)      15       15           15                      
  (  148,   -45)      16       16           16                      +1
  (  149,   -45)      16       16           16                      
  (  150,   -45)      16       16           16                      
  (  151,   -45)      17       17           17                      +1
  (  152,   -45)      17       17           17                      
  (  153,   -45)      18       18           18                      +1
  (  154,   -45)      18       18           18                      
  (  155,   -45)      19       19           19                      +1
  (  156,   -45)      19       19           19                      
  (  157,   -45)      20       20           20                      +1
  (  158,   -45)      20       20           20                      
  (  159,   -45)      21       21           21                      +1
  (  160,   -45)      21       21           21                      
  (  161,   -45)      22       22           22                      +1
  (  162,   -45)      23       23           23                      +1
  (  163,   -45)      23       23           23                      
  (  164,   -45)      24       24           24                      +1
  (  165,   -45)      24       24           24                      
  (  166,   -45)      25       25           25                      +1
  (  167,   -45)      25       25           25                      
  (  168,   -45)      26       26           26                      +1
  (  169,   -45)      27       27           27                      +1
  (  170,   -45)      27       27           27                      
  (  171,   -45)      28       28           28                      +1
  (  172,   -45)      28       28           28                      
  (  173,   -45)      29       29           29                      +1
  (  174,   -45)      29       29           29                      
  (  175,   -45)      30       30           30                      +1
  (  176,   -45)      30       30           30                      
  (  177,   -45)      31       31           31                      +1
  (  178,   -45)      31       31           31                      
  (  179,   -45)      32       32           32                      +1
  (  180,   -45)      32       32           32                      
  (  181,   -45)      32       32           32                      
  (  182,   -45)      33       33           33                      +1
  (  183,   -45)      33       33           33                      
  (  184,   -45)      33       33           33                      
  (  185,   -45)      34       34           34                      +1
  (  186,   -45)      34       34           34                      
  (  187,   -45)      34       34           34                      
  (  188,   -45)      34       34           34                      
  (  189,   -45)      34       34           34                      
  (  190,   -45)      34       34           34                      
  (  191,   -45)      34       34           34                      
  (  192,   -45)      34       34           34                      
  (  193,   -45)      34       34           34                      
  (  194,   -45)      33       33           33                      -1
  (  195,   -45)      31       31           31                      -2
  (  196,   -45)      29       29           29                      -2
  (  197,   -45)      26       26           26                      -3
  (  198,   -45)      24       24           24                      -2
  (  199,   -45)      21       21           21                      -3
  (  200,   -45)      18       18           18                      -3
  (  201,   -45)      16       16           16                      -2
  (  202,   -45)      13       13           13                      -3
  (  203,   -45)      11       11           11                      -2
  (  204,   -45)       9        9            9                      -2
  (  205,   -45)       8        8            8                      -1
  (  206,   -45)       8        8            8                      
  (  207,   -45)       8        8            8                      
  (  208,   -45)       8        8            8                      
  (  209,   -45)       8        8            8                      
  (  210,   -45)       8        8            8                      
  (  211,   -45)       8        8            8                      
rises 26, falls 12, worst step 3: 0 barrier, 0 scramble, 0 drop | walked end to end

### stack: three terraces, west to east
TRANSECT 93 stations from (-211, 45) to (-119, 45), every 1
  station        ground  surface  water  top  standing            step
  ( -211,    45)       8        8            8                      
  ( -210,    45)       8        8            8                      
  ( -209,    45)       8        8            8                      
  ( -208,    45)       8        8            8                      
  ( -207,    45)       8        8            8                      
  ( -206,    45)       8        8            8                      
  ( -205,    45)       8        8            8                      
  ( -204,    45)       9        9            9                      +1
  ( -203,    45)       9        9            9                      
  ( -202,    45)      10       10           10                      +1
  ( -201,    45)      11       11           11                      +1
  ( -200,    45)      12       12           12                      +1
  ( -199,    45)      14       14           14                      scramble +2
  ( -198,    45)      15       15           15                      +1
  ( -197,    45)      16       16           16                      +1
  ( -196,    45)      17       17           17                      +1
  ( -195,    45)      17       17           17                      
  ( -194,    45)      18       18           18                      +1
  ( -193,    45)      18       18           18                      
  ( -192,    45)      18       18           18                      
  ( -191,    45)      19       19           19                      +1
  ( -190,    45)      20       20           20                      +1
  ( -189,    45)      21       21           21                      +1
  ( -188,    45)      23       23           23                      scramble +2
  ( -187,    45)      24       24           24                      +1
  ( -186,    45)      25       25           25                      +1
  ( -185,    45)      26       26           26                      +1
  ( -184,    45)      26       26           26                      
  ( -183,    45)      26       26           26                      
  ( -182,    45)      26       26           26                      
  ( -181,    45)      26       26           26                      
  ( -180,    45)      26       26           26                      
  ( -179,    45)      26       26           26                      
  ( -178,    45)      27       27           27                      +1
  ( -177,    45)      29       29           29                      scramble +2
  ( -176,    45)      31       31           31                      scramble +2
  ( -175,    45)      31       31           31                      
  ( -174,    45)      32       32           32                      +1
  ( -173,    45)      33       33           33                      +1
  ( -172,    45)      34       34           34                      +1
  ( -171,    45)      35       35           35                      +1
  ( -170,    45)      36       36           36                      +1
  ( -169,    45)      36       36           36                      
  ( -168,    45)      36       36           36                      
  ( -167,    45)      36       36           36                      
  ( -166,    45)      36       36           36                      
  ( -165,    45)      36       36           36                      
  ( -164,    45)      36       36           36                      
  ( -163,    45)      36       36           36                      
  ( -162,    45)      36       36           36                      
  ( -161,    45)      36       36           36                      
  ( -160,    45)      35       35           35                      -1
  ( -159,    45)      34       34           34                      -1
  ( -158,    45)      33       33           33                      -1
  ( -157,    45)      32       32           32                      -1
  ( -156,    45)      31       31           31                      -1
  ( -155,    45)      30       30           30                      -1
  ( -154,    45)      28       28           28                      -2
  ( -153,    45)      27       27           27                      -1
  ( -152,    45)      26       26           26                      -1
  ( -151,    45)      26       26           26                      
  ( -150,    45)      26       26           26                      
  ( -149,    45)      26       26           26                      
  ( -148,    45)      26       26           26                      
  ( -147,    45)      26       26           26                      
  ( -146,    45)      25       25           25                      -1
  ( -145,    45)      25       25           25                      
  ( -144,    45)      23       23           23                      -2
  ( -143,    45)      22       22           22                      -1
  ( -142,    45)      21       21           21                      -1
  ( -141,    45)      20       20           20                      -1
  ( -140,    45)      19       19           19                      -1
  ( -139,    45)      18       18           18                      -1
  ( -138,    45)      18       18           18                      
  ( -137,    45)      18       18           18                      
  ( -136,    45)      17       17           17                      -1
  ( -135,    45)      16       16           16                      -1
  ( -134,    45)      15       15           15                      -1
  ( -133,    45)      14       14           14                      -1
  ( -132,    45)      13       13           13                      -1
  ( -131,    45)      12       12           12                      -1
  ( -130,    45)      11       11           11                      -1
  ( -129,    45)      10       10           10                      -1
  ( -128,    45)       9        9            9                      -1
  ( -127,    45)       8        8            8                      -1
  ( -126,    45)       8        8            8                      
  ( -125,    45)       8        8            8                      
  ( -124,    45)       8        8            8                      
  ( -123,    45)       8        8            8                      
  ( -122,    45)       8        8            8                      
  ( -121,    45)       8        8            8                      
  ( -120,    45)       8        8            8                      
  ( -119,    45)       8        8            8                      
rises 24, falls 26, worst step 2: 0 barrier, 4 scramble, 0 drop — scramble +2 at (-199, 45); scramble +2 at (-188, 45); scramble +2 at (-177, 45); scramble +2 at (-176, 45) | walked end to end

### overlap: through both rings, west to east
TRANSECT 93 stations from (-101, 45) to (-9, 45), every 1
  station        ground  surface  water  top  standing            step
  ( -101,    45)       8        8            8                      
  ( -100,    45)       8        8            8                      
  (  -99,    45)       8        8            8                      
  (  -98,    45)       8        8            8                      
  (  -97,    45)       8        8            8                      
  (  -96,    45)       8        8            8                      
  (  -95,    45)       8        8            8                      
  (  -94,    45)       8        8            8                      
  (  -93,    45)       8        8            8                      
  (  -92,    45)       8        8            8                      
  (  -91,    45)       9        9            9                      +1
  (  -90,    45)      10       10           10                      +1
  (  -89,    45)      12       12           12                      scramble +2
  (  -88,    45)      13       13           13                      +1
  (  -87,    45)      15       15           15                      scramble +2
  (  -86,    45)      17       17           17                      scramble +2
  (  -85,    45)      18       18           18                      +1
  (  -84,    45)      20       20           20                      scramble +2
  (  -83,    45)      21       21           21                      +1
  (  -82,    45)      22       22           22                      +1
  (  -81,    45)      22       22           22                      
  (  -80,    45)      22       22           22                      
  (  -79,    45)      22       22           22                      
  (  -78,    45)      22       22           22                      
  (  -77,    45)      22       22           22                      
  (  -76,    45)      22       22           22                      
  (  -75,    45)      22       22           22                      
  (  -74,    45)      22       22           22                      
  (  -73,    45)      22       22           22                      
  (  -72,    45)      22       22           22                      
  (  -71,    45)      23       23           23                      +1
  (  -70,    45)      24       24           24                      +1
  (  -69,    45)      26       26           26                      scramble +2
  (  -68,    45)      27       27           27                      +1
  (  -67,    45)      29       29           29                      scramble +2
  (  -66,    45)      31       31           31                      scramble +2
  (  -65,    45)      32       32           32                      +1
  (  -64,    45)      34       34           34                      scramble +2
  (  -63,    45)      35       35           35                      +1
  (  -62,    45)      36       36           36                      +1
  (  -61,    45)      36       36           36                      
  (  -60,    45)      36       36           36                      
  (  -59,    45)      36       36           36                      
  (  -58,    45)      36       36           36                      
  (  -57,    45)      36       36           36                      
  (  -56,    45)      36       36           36                      
  (  -55,    45)      36       36           36                      
  (  -54,    45)      36       36           36                      
  (  -53,    45)      36       36           36                      
  (  -52,    45)      36       36           36                      
  (  -51,    45)      36       36           36                      
  (  -50,    45)      36       36           36                      
  (  -49,    45)      36       36           36                      
  (  -48,    45)      35       35           35                      -1
  (  -47,    45)      34       34           34                      -1
  (  -46,    45)      32       32           32                      -2
  (  -45,    45)      31       31           31                      -1
  (  -44,    45)      29       29           29                      -2
  (  -43,    45)      27       27           27                      -2
  (  -42,    45)      26       26           26                      -1
  (  -41,    45)      24       24           24                      -2
  (  -40,    45)      23       23           23                      -1
  (  -39,    45)      22       22           22                      -1
  (  -38,    45)      22       22           22                      
  (  -37,    45)      22       22           22                      
  (  -36,    45)      22       22           22                      
  (  -35,    45)      22       22           22                      
  (  -34,    45)      22       22           22                      
  (  -33,    45)      22       22           22                      
  (  -32,    45)      22       22           22                      
  (  -31,    45)      22       22           22                      
  (  -30,    45)      22       22           22                      
  (  -29,    45)      22       22           22                      
  (  -28,    45)      21       21           21                      -1
  (  -27,    45)      20       20           20                      -1
  (  -26,    45)      18       18           18                      -2
  (  -25,    45)      17       17           17                      -1
  (  -24,    45)      15       15           15                      -2
  (  -23,    45)      13       13           13                      -2
  (  -22,    45)      12       12           12                      -1
  (  -21,    45)      10       10           10                      -2
  (  -20,    45)       9        9            9                      -1
  (  -19,    45)       8        8            8                      -1
  (  -18,    45)       8        8            8                      
  (  -17,    45)       8        8            8                      
  (  -16,    45)       8        8            8                      
  (  -15,    45)       8        8            8                      
  (  -14,    45)       8        8            8                      
  (  -13,    45)       8        8            8                      
  (  -12,    45)       8        8            8                      
  (  -11,    45)       8        8            8                      
  (  -10,    45)       8        8            8                      
  (   -9,    45)       8        8            8                      
rises 20, falls 20, worst step 2: 0 barrier, 8 scramble, 0 drop — scramble +2 at (-89, 45); scramble +2 at (-87, 45); scramble +2 at (-86, 45); scramble +2 at (-84, 45); scramble +2 at (-69, 45); scramble +2 at (-67, 45); scramble +2 at (-66, 45); scramble +2 at (-64, 45) | walked end to end

### crater: rim, floor, rim, west to east
TRANSECT 93 stations from (9, 45) to (101, 45), every 1
  station        ground  surface  water  top  standing            step
  (    9,    45)       8        8            8                      
  (   10,    45)       8        8            8                      
  (   11,    45)       8        8            8                      
  (   12,    45)       8        8            8                      
  (   13,    45)       8        8            8                      
  (   14,    45)       8        8            8                      
  (   15,    45)       8        8            8                      
  (   16,    45)       8        8            8                      
  (   17,    45)       8        8            8                      
  (   18,    45)       8        8            8                      
  (   19,    45)       8        8            8                      
  (   20,    45)       8        8            8                      
  (   21,    45)       9        9            9                      +1
  (   22,    45)      10       10           10                      +1
  (   23,    45)      12       12           12                      scramble +2
