GET /api/map/technique-made-ground/transect?points=x,z;x,z — one line north to south through the
middle of each panel, crossing the piece. Every panel is a 96x76 island whose relief falls 26 at the
  ( -165,   -38)      16       16           16                      
  ( -165,   -37)      16       16           16                      
  ( -165,   -36)      16       16           16                      
  ( -165,   -35)      15       15           15                      -1
  ( -165,   -34)      15       15           15                      
  ( -165,   -33)      15       15           15                      
  ( -165,   -32)      14       14           14                      -1
  ( -165,   -31)      14       14           14                      
  ( -165,   -30)      14       14           14                      
  ( -165,   -29)      14       14           14                      
  ( -165,   -28)      13       13           13                      -1
  ( -165,   -27)      13       13           13                      
  ( -165,   -26)      13       13           13                      
  ( -165,   -25)      13       13           13                      
  ( -165,   -24)      12       12           12                      -1
  ( -165,   -23)      12       12           12                      
  ( -165,   -22)      12       12           12                      
  ( -165,   -21)      12       12           12                      
  ( -165,   -20)      11       11           11                      -1
  ( -165,   -19)      11       11           11                      
  ( -165,   -18)      11       11           11                      
  ( -165,   -17)      11       11           11                      
  ( -165,   -16)      10       10           10                      -1
  ( -165,   -15)      10       10           10                      
  ( -165,   -14)      10       10           10                      
  ( -165,   -13)      10       10           10                      
  ( -165,   -12)      10       10           10                      
  ( -165,   -11)      10       10           10                      
  ( -165,   -10)      10       10           10                      
  ( -165,    -9)      10       10           10                      
rises 0, falls 16, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### hold: relief_scope hold
TRANSECT 73 stations from (-55, -81) to (-55, -9), every 1
  station        ground  surface  water  top  standing            step
  (  -55,   -81)      26       26           26                      
  (  -55,   -80)      26       26           26                      
  (  -55,   -79)      26       26           26                      
  (  -55,   -78)      26       26           26                      
  (  -55,   -77)      26       26           26                      
  (  -55,   -76)      26       26           26                      
  (  -55,   -75)      26       26           26                      
  (  -55,   -74)      26       26           26                      
  (  -55,   -73)      26       26           26                      
  (  -55,   -72)      26       26           26                      
  (  -55,   -71)      25       25           25                      -1
  (  -55,   -70)      25       25           25                      
  (  -55,   -69)      25       25           25                      
  (  -55,   -68)      25       25           25                      
  (  -55,   -67)      25       25           25                      
  (  -55,   -66)      25       25           25                      
  (  -55,   -65)      25       25           25                      
  (  -55,   -64)      25       25           25                      
  (  -55,   -63)      25       25           25                      
  (  -55,   -62)      24       24           24                      -1
  (  -55,   -61)      24       24           24                      
  (  -55,   -60)      24       24           24                      
  (  -55,   -59)      24       24           24                      
  (  -55,   -58)      24       24           24                      
  (  -55,   -57)      24       24           24                      
  (  -55,   -56)      24       24           24                      
  (  -55,   -55)      24       24           24                      
  (  -55,   -54)      24       24           24                      
  (  -55,   -53)      24       24           24                      
  (  -55,   -52)      24       24           24                      
  (  -55,   -51)      24       24           24                      
  (  -55,   -50)      24       24           24                      
  (  -55,   -49)      24       24           24                      
  (  -55,   -48)      24       24           24                      
  (  -55,   -47)      24       24           24                      
  (  -55,   -46)      24       24           24                      
  (  -55,   -45)      24       24           24                      
  (  -55,   -44)      24       24           24                      
  (  -55,   -43)      24       24           24                      
  (  -55,   -42)      24       24           24                      
  (  -55,   -41)      24       24           24                      
  (  -55,   -40)      24       24           24                      
  (  -55,   -39)      24       24           24                      
  (  -55,   -38)      24       24           24                      
  (  -55,   -37)      24       24           24                      
  (  -55,   -36)      24       24           24                      
  (  -55,   -35)      24       24           24                      
  (  -55,   -34)      24       24           24                      
  (  -55,   -33)      24       24           24                      
  (  -55,   -32)      23       23           23                      -1
  (  -55,   -31)      22       22           22                      -1
  (  -55,   -30)      22       22           22                      
  (  -55,   -29)      21       21           21                      -1
  (  -55,   -28)      20       20           20                      -1
  (  -55,   -27)      19       19           19                      -1
  (  -55,   -26)      18       18           18                      -1
  (  -55,   -25)      18       18           18                      
  (  -55,   -24)      17       17           17                      -1
  (  -55,   -23)      16       16           16                      -1
  (  -55,   -22)      15       15           15                      -1
  (  -55,   -21)      15       15           15                      
  (  -55,   -20)      14       14           14                      -1
  (  -55,   -19)      13       13           13                      -1
  (  -55,   -18)      12       12           12                      -1
  (  -55,   -17)      12       12           12                      
  (  -55,   -16)      11       11           11                      -1
  (  -55,   -15)      10       10           10                      -1
  (  -55,   -14)      10       10           10                      
  (  -55,   -13)      10       10           10                      
  (  -55,   -12)      10       10           10                      
  (  -55,   -11)      10       10           10                      
  (  -55,   -10)      10       10           10                      
  (  -55,    -9)      10       10           10                      
rises 0, falls 16, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### follow: relief_scope follow
TRANSECT 73 stations from (55, -81) to (55, -9), every 1
  station        ground  surface  water  top  standing            step
  (   55,   -81)      26       26           26                      
  (   55,   -80)      26       26           26                      
  (   55,   -79)      26       26           26                      
  (   55,   -78)      26       26           26                      
  (   55,   -77)      26       26           26                      
  (   55,   -76)      26       26           26                      
  (   55,   -75)      26       26           26                      
  (   55,   -74)      25       25           25                      -1
  (   55,   -73)      25       25           25                      
  (   55,   -72)      24       24           24                      -1
  (   55,   -71)      24       24           24                      
  (   55,   -70)      23       23           23                      -1
  (   55,   -69)      23       23           23                      
  (   55,   -68)      22       22           22                      -1
  (   55,   -67)      22       22           22                      
  (   55,   -66)      22       22           22                      
  (   55,   -65)      21       21           21                      -1
  (   55,   -64)      21       21           21                      
  (   55,   -63)      20       20           20                      -1
  (   55,   -62)      20       20           20                      
  (   55,   -61)      19       19           19                      -1
  (   55,   -60)      19       19           19                      
  (   55,   -59)      18       18           18                      -1
  (   55,   -58)      18       18           18                      
  (   55,   -57)      18       18           18                      
  (   55,   -56)      18       18           18                      
  (   55,   -55)      18       18           18                      
  (   55,   -54)      18       18           18                      
  (   55,   -53)      18       18           18                      
  (   55,   -52)      18       18           18                      
  (   55,   -51)      18       18           18                      
  (   55,   -50)      18       18           18                      
  (   55,   -49)      18       18           18                      
  (   55,   -48)      18       18           18                      
  (   55,   -47)      18       18           18                      
  (   55,   -46)      18       18           18                      
  (   55,   -45)      18       18           18                      
  (   55,   -44)      18       18           18                      
  (   55,   -43)      18       18           18                      
  (   55,   -42)      18       18           18                      
  (   55,   -41)      18       18           18                      
  (   55,   -40)      18       18           18                      
  (   55,   -39)      18       18           18                      
  (   55,   -38)      18       18           18                      
  (   55,   -37)      18       18           18                      
  (   55,   -36)      18       18           18                      
  (   55,   -35)      18       18           18                      
  (   55,   -34)      18       18           18                      
  (   55,   -33)      18       18           18                      
  (   55,   -32)      18       18           18                      
  (   55,   -31)      17       17           17                      -1
  (   55,   -30)      17       17           17                      
  (   55,   -29)      16       16           16                      -1
  (   55,   -28)      16       16           16                      
  (   55,   -27)      15       15           15                      -1
  (   55,   -26)      15       15           15                      
  (   55,   -25)      14       14           14                      -1
  (   55,   -24)      14       14           14                      
  (   55,   -23)      14       14           14                      
  (   55,   -22)      13       13           13                      -1
  (   55,   -21)      13       13           13                      
  (   55,   -20)      12       12           12                      -1
  (   55,   -19)      12       12           12                      
  (   55,   -18)      11       11           11                      -1
  (   55,   -17)      11       11           11                      
  (   55,   -16)      10       10           10                      -1
  (   55,   -15)      10       10           10                      
  (   55,   -14)      10       10           10                      
  (   55,   -13)      10       10           10                      
  (   55,   -12)      10       10           10                      
  (   55,   -11)      10       10           10                      
  (   55,   -10)      10       10           10                      
  (   55,    -9)      10       10           10                      
rises 0, falls 16, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### exclude: relief_scope exclude
TRANSECT 73 stations from (165, -81) to (165, -9), every 1
  station        ground  surface  water  top  standing            step
  (  165,   -81)      26       26           26                      
  (  165,   -80)      26       26           26                      
  (  165,   -79)      26       26           26                      
  (  165,   -78)      26       26           26                      
  (  165,   -77)      26       26           26                      
  (  165,   -76)      26       26           26                      
  (  165,   -75)      26       26           26                      
  (  165,   -74)      26       26           26                      
  (  165,   -73)      26       26           26                      
  (  165,   -72)      26       26           26                      
  (  165,   -71)      26       26           26                      
  (  165,   -70)      26       26           26                      
  (  165,   -69)      25       25           25                      -1
  (  165,   -68)      25       25           25                      
  (  165,   -67)      25       25           25                      
  (  165,   -66)      25       25           25                      
  (  165,   -65)      25       25           25                      
  (  165,   -64)      25       25           25                      
  (  165,   -63)      25       25           25                      
  (  165,   -62)      25       25           25                      
  (  165,   -61)      25       25           25                      
  (  165,   -60)      25       25           25                      
  (  165,   -59)      25       25           25                      
  (  165,   -58)      44       44           44                      BARRIER +19
  (  165,   -57)      44       44           44                      
  (  165,   -56)      44       44           44                      
  (  165,   -55)      44       44           44                      
  (  165,   -54)      44       44           44                      
  (  165,   -53)      44       44           44                      
  (  165,   -52)      44       44           44                      
  (  165,   -51)      44       44           44                      
  (  165,   -50)      44       44           44                      
  (  165,   -49)      44       44           44                      
  (  165,   -48)      44       44           44                      
  (  165,   -47)      44       44           44                      
  (  165,   -46)      44       44           44                      
  (  165,   -45)      44       44           44                      
  (  165,   -44)      44       44           44                      
  (  165,   -43)      44       44           44                      
  (  165,   -42)      44       44           44                      
  (  165,   -41)      44       44           44                      
  (  165,   -40)      44       44           44                      
  (  165,   -39)      44       44           44                      
  (  165,   -38)      44       44           44                      
  (  165,   -37)      44       44           44                      
  (  165,   -36)      44       44           44                      
  (  165,   -35)      44       44           44                      
  (  165,   -34)      44       44           44                      
  (  165,   -33)      44       44           44                      
  (  165,   -32)      11       11           11                      DROP -33
  (  165,   -31)      11       11           11                      
  (  165,   -30)      11       11           11                      
  (  165,   -29)      11       11           11                      
  (  165,   -28)      11       11           11                      
  (  165,   -27)      11       11           11                      
  (  165,   -26)      11       11           11                      
  (  165,   -25)      11       11           11                      
  (  165,   -24)      11       11           11                      
  (  165,   -23)      11       11           11                      
  (  165,   -22)      11       11           11                      
  (  165,   -21)      10       10           10                      -1
  (  165,   -20)      10       10           10                      
  (  165,   -19)      10       10           10                      
  (  165,   -18)      10       10           10                      
  (  165,   -17)      10       10           10                      
  (  165,   -16)      10       10           10                      
  (  165,   -15)      10       10           10                      
  (  165,   -14)      10       10           10                      
  (  165,   -13)      10       10           10                      
  (  165,   -12)      10       10           10                      
  (  165,   -11)      10       10           10                      
  (  165,   -10)      10       10           10                      
  (  165,    -9)      10       10           10                      
rises 1, falls 3, worst step 33: 1 barrier, 0 scramble, 1 drop — BARRIER +19 at (165, -58); DROP -33 at (165, -32) | walked end to end

### sheer: height_mode level, skirt 0
TRANSECT 73 stations from (-165, 9) to (-165, 81), every 1
  station        ground  surface  water  top  standing            step
  ( -165,     9)      26       26           26                      
  ( -165,    10)      26       26           26                      
  ( -165,    11)      26       26           26                      
  ( -165,    12)      26       26           26                      
  ( -165,    13)      26       26           26                      
  ( -165,    14)      26       26           26                      
  ( -165,    15)      26       26           26                      
  ( -165,    16)      25       25           25                      -1
  ( -165,    17)      25       25           25                      
  ( -165,    18)      25       25           25                      
  ( -165,    19)      25       25           25                      
  ( -165,    20)      24       24           24                      -1
  ( -165,    21)      24       24           24                      
  ( -165,    22)      24       24           24                      
  ( -165,    23)      24       24           24                      
  ( -165,    24)      23       23           23                      -1
  ( -165,    25)      23       23           23                      
  ( -165,    26)      23       23           23                      
  ( -165,    27)      23       23           23                      
  ( -165,    28)      22       22           22                      -1
  ( -165,    29)      22       22           22                      
  ( -165,    30)      22       22           22                      
  ( -165,    31)      22       22           22                      
  ( -165,    32)      24       24           24                      scramble +2
  ( -165,    33)      24       24           24                      
  ( -165,    34)      24       24           24                      
  ( -165,    35)      24       24           24                      
  ( -165,    36)      24       24           24                      
  ( -165,    37)      24       24           24                      
  ( -165,    38)      24       24           24                      
  ( -165,    39)      24       24           24                      
  ( -165,    40)      24       24           24                      
  ( -165,    41)      24       24           24                      
  ( -165,    42)      24       24           24                      
  ( -165,    43)      24       24           24                      
  ( -165,    44)      24       24           24                      
  ( -165,    45)      24       24           24                      
  ( -165,    46)      24       24           24                      
  ( -165,    47)      24       24           24                      
  ( -165,    48)      24       24           24                      
  ( -165,    49)      24       24           24                      
  ( -165,    50)      24       24           24                      
  ( -165,    51)      24       24           24                      
  ( -165,    52)      24       24           24                      
  ( -165,    53)      24       24           24                      
  ( -165,    54)      24       24           24                      
  ( -165,    55)      24       24           24                      
  ( -165,    56)      24       24           24                      
  ( -165,    57)      24       24           24                      
  ( -165,    58)      14       14           14                      DROP -10
  ( -165,    59)      14       14           14                      
  ( -165,    60)      14       14           14                      
  ( -165,    61)      14       14           14                      
  ( -165,    62)      13       13           13                      -1
  ( -165,    63)      13       13           13                      
  ( -165,    64)      13       13           13                      
  ( -165,    65)      13       13           13                      
  ( -165,    66)      12       12           12                      -1
  ( -165,    67)      12       12           12                      
  ( -165,    68)      12       12           12                      
  ( -165,    69)      12       12           12                      
  ( -165,    70)      11       11           11                      -1
  ( -165,    71)      11       11           11                      
  ( -165,    72)      11       11           11                      
  ( -165,    73)      11       11           11                      
  ( -165,    74)      10       10           10                      -1
  ( -165,    75)      10       10           10                      
  ( -165,    76)      10       10           10                      
  ( -165,    77)      10       10           10                      
  ( -165,    78)      10       10           10                      
  ( -165,    79)      10       10           10                      
  ( -165,    80)      10       10           10                      
  ( -165,    81)      10       10           10                      
rises 1, falls 9, worst step 10: 0 barrier, 1 scramble, 1 drop — scramble +2 at (-165, 32); DROP -10 at (-165, 58) | walked end to end

### skirt-6: height_mode level, skirt 6
TRANSECT 73 stations from (-55, 9) to (-55, 81), every 1
  station        ground  surface  water  top  standing            step
  (  -55,     9)      26       26           26                      
  (  -55,    10)      26       26           26                      
  (  -55,    11)      26       26           26                      
  (  -55,    12)      26       26           26                      
  (  -55,    13)      26       26           26                      
  (  -55,    14)      26       26           26                      
  (  -55,    15)      26       26           26                      
  (  -55,    16)      25       25           25                      -1
  (  -55,    17)      25       25           25                      
  (  -55,    18)      25       25           25                      
  (  -55,    19)      25       25           25                      
  (  -55,    20)      24       24           24                      -1
  (  -55,    21)      24       24           24                      
  (  -55,    22)      24       24           24                      
  (  -55,    23)      24       24           24                      
  (  -55,    24)      23       23           23                      -1
  (  -55,    25)      23       23           23                      
  (  -55,    26)      23       23           23                      
  (  -55,    27)      23       23           23                      
  (  -55,    28)      22       22           22                      -1
  (  -55,    29)      22       22           22                      
  (  -55,    30)      22       22           22                      
  (  -55,    31)      22       22           22                      
  (  -55,    32)      22       22           22                      
  (  -55,    33)      23       23           23                      +1
  (  -55,    34)      23       23           23                      
  (  -55,    35)      23       23           23                      
  (  -55,    36)      23       23           23                      
  (  -55,    37)      24       24           24                      +1
  (  -55,    38)      24       24           24                      
  (  -55,    39)      24       24           24                      
  (  -55,    40)      24       24           24                      
  (  -55,    41)      24       24           24                      
  (  -55,    42)      24       24           24                      
  (  -55,    43)      24       24           24                      
  (  -55,    44)      24       24           24                      
  (  -55,    45)      24       24           24                      
  (  -55,    46)      24       24           24                      
  (  -55,    47)      24       24           24                      
  (  -55,    48)      24       24           24                      
  (  -55,    49)      24       24           24                      
  (  -55,    50)      24       24           24                      
  (  -55,    51)      24       24           24                      
  (  -55,    52)      23       23           23                      -1
  (  -55,    53)      21       21           21                      -2
  (  -55,    54)      20       20           20                      -1
  (  -55,    55)      18       18           18                      -2
  (  -55,    56)      17       17           17                      -1
  (  -55,    57)      15       15           15                      -2
  (  -55,    58)      14       14           14                      -1
  (  -55,    59)      14       14           14                      
  (  -55,    60)      14       14           14                      
  (  -55,    61)      14       14           14                      
  (  -55,    62)      13       13           13                      -1
  (  -55,    63)      13       13           13                      
  (  -55,    64)      13       13           13                      
  (  -55,    65)      13       13           13                      
  (  -55,    66)      12       12           12                      -1
  (  -55,    67)      12       12           12                      
  (  -55,    68)      12       12           12                      
  (  -55,    69)      12       12           12                      
  (  -55,    70)      11       11           11                      -1
  (  -55,    71)      11       11           11                      
  (  -55,    72)      11       11           11                      
  (  -55,    73)      11       11           11                      
  (  -55,    74)      10       10           10                      -1
  (  -55,    75)      10       10           10                      
  (  -55,    76)      10       10           10                      
  (  -55,    77)      10       10           10                      
  (  -55,    78)      10       10           10                      
  (  -55,    79)      10       10           10                      
  (  -55,    80)      10       10           10                      
  (  -55,    81)      10       10           10                      
rises 2, falls 15, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end

### skirt-14: height_mode level, skirt 14
TRANSECT 73 stations from (55, 9) to (55, 81), every 1
  station        ground  surface  water  top  standing            step
  (   55,     9)      26       26           26                      
  (   55,    10)      26       26           26                      
  (   55,    11)      26       26           26                      
  (   55,    12)      26       26           26                      
  (   55,    13)      26       26           26                      
  (   55,    14)      26       26           26                      
  (   55,    15)      26       26           26                      
  (   55,    16)      25       25           25                      -1
  (   55,    17)      25       25           25                      
  (   55,    18)      25       25           25                      
  (   55,    19)      25       25           25                      
  (   55,    20)      24       24           24                      -1
  (   55,    21)      24       24           24                      
  (   55,    22)      24       24           24                      
  (   55,    23)      24       24           24                      
  (   55,    24)      23       23           23                      -1
  (   55,    25)      23       23           23                      
  (   55,    26)      23       23           23                      
  (   55,    27)      23       23           23                      
  (   55,    28)      22       22           22                      -1
  (   55,    29)      22       22           22                      
  (   55,    30)      22       22           22                      
  (   55,    31)      22       22           22                      
  (   55,    32)      22       22           22                      
  (   55,    33)      22       22           22                      
  (   55,    34)      22       22           22                      
  (   55,    35)      23       23           23                      +1
  (   55,    36)      23       23           23                      
  (   55,    37)      23       23           23                      
  (   55,    38)      23       23           23                      
  (   55,    39)      23       23           23                      
  (   55,    40)      23       23           23                      
  (   55,    41)      23       23           23                      
  (   55,    42)      23       23           23                      
  (   55,    43)      24       24           24                      +1
  (   55,    44)      24       24           24                      
  (   55,    45)      23       23           23                      -1
  (   55,    46)      22       22           22                      -1
  (   55,    47)      21       21           21                      -1
  (   55,    48)      21       21           21                      
  (   55,    49)      20       20           20                      -1
  (   55,    50)      19       19           19                      -1
  (   55,    51)      19       19           19                      
  (   55,    52)      18       18           18                      -1
  (   55,    53)      17       17           17                      -1
  (   55,    54)      17       17           17                      
  (   55,    55)      16       16           16                      -1
  (   55,    56)      15       15           15                      -1
  (   55,    57)      15       15           15                      
  (   55,    58)      14       14           14                      -1
  (   55,    59)      14       14           14                      
  (   55,    60)      14       14           14                      
  (   55,    61)      14       14           14                      
  (   55,    62)      13       13           13                      -1
  (   55,    63)      13       13           13                      
  (   55,    64)      13       13           13                      
  (   55,    65)      13       13           13                      
  (   55,    66)      12       12           12                      -1
  (   55,    67)      12       12           12                      
  (   55,    68)      12       12           12                      
  (   55,    69)      12       12           12                      
  (   55,    70)      11       11           11                      -1
  (   55,    71)      11       11           11                      
  (   55,    72)      11       11           11                      
  (   55,    73)      11       11           11                      
  (   55,    74)      10       10           10                      -1
  (   55,    75)      10       10           10                      
  (   55,    76)      10       10           10                      
  (   55,    77)      10       10           10                      
  (   55,    78)      10       10           10                      
  (   55,    79)      10       10           10                      
  (   55,    80)      10       10           10                      
  (   55,    81)      10       10           10                      
rises 2, falls 18, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### both-words: height_mode level, skirt 0, AND relief_scope hold
TRANSECT 73 stations from (165, 9) to (165, 81), every 1
  station        ground  surface  water  top  standing            step
  (  165,     9)      26       26           26                      
  (  165,    10)      26       26           26                      
  (  165,    11)      26       26           26                      
  (  165,    12)      26       26           26                      
  (  165,    13)      26       26           26                      
  (  165,    14)      26       26           26                      
  (  165,    15)      26       26           26                      
  (  165,    16)      25       25           25                      -1
  (  165,    17)      25       25           25                      
  (  165,    18)      25       25           25                      
  (  165,    19)      25       25           25                      
  (  165,    20)      24       24           24                      -1
  (  165,    21)      24       24           24                      
  (  165,    22)      24       24           24                      
  (  165,    23)      24       24           24                      
  (  165,    24)      23       23           23                      -1
  (  165,    25)      23       23           23                      
  (  165,    26)      23       23           23                      
  (  165,    27)      23       23           23                      
  (  165,    28)      22       22           22                      -1
  (  165,    29)      22       22           22                      
  (  165,    30)      22       22           22                      
  (  165,    31)      22       22           22                      
  (  165,    32)      24       24           24                      scramble +2
  (  165,    33)      24       24           24                      
  (  165,    34)      24       24           24                      
  (  165,    35)      24       24           24                      
  (  165,    36)      24       24           24                      
  (  165,    37)      24       24           24                      
  (  165,    38)      24       24           24                      
  (  165,    39)      24       24           24                      
  (  165,    40)      24       24           24                      
  (  165,    41)      24       24           24                      
  (  165,    42)      24       24           24                      
  (  165,    43)      24       24           24                      
  (  165,    44)      24       24           24                      
  (  165,    45)      24       24           24                      
  (  165,    46)      24       24           24                      
  (  165,    47)      24       24           24                      
  (  165,    48)      24       24           24                      
  (  165,    49)      24       24           24                      
  (  165,    50)      24       24           24                      
  (  165,    51)      24       24           24                      
  (  165,    52)      24       24           24                      
  (  165,    53)      24       24           24                      
  (  165,    54)      24       24           24                      
  (  165,    55)      24       24           24                      
  (  165,    56)      24       24           24                      
  (  165,    57)      24       24           24                      
  (  165,    58)      14       14           14                      DROP -10
  (  165,    59)      14       14           14                      
  (  165,    60)      14       14           14                      
  (  165,    61)      14       14           14                      
  (  165,    62)      13       13           13                      -1
  (  165,    63)      13       13           13                      
  (  165,    64)      13       13           13                      
  (  165,    65)      13       13           13                      
  (  165,    66)      12       12           12                      -1
  (  165,    67)      12       12           12                      
  (  165,    68)      12       12           12                      
  (  165,    69)      12       12           12                      
  (  165,    70)      11       11           11                      -1
  (  165,    71)      11       11           11                      
  (  165,    72)      11       11           11                      
  (  165,    73)      11       11           11                      
  (  165,    74)      10       10           10                      -1
  (  165,    75)      10       10           10                      
  (  165,    76)      10       10           10                      
  (  165,    77)      10       10           10                      
  (  165,    78)      10       10           10                      
  (  165,    79)      10       10           10                      
  (  165,    80)      10       10           10                      
  (  165,    81)      10       10           10                      
rises 1, falls 9, worst step 10: 0 barrier, 1 scramble, 1 drop — scramble +2 at (165, 32); DROP -10 at (165, 58) | walked end to end

