== stepped: upland down to lowland, along x -16
  (   48,    -9)      13       13           13                      
  (   48,    -8)      12       12           12                      -1
  (   48,    -7)      12       12           12                      
  (   48,    -6)      12       12           12                      
  (   48,    -5)      12       12           12                      
  (   48,    -4)      11       11           11                      -1
  (   48,    -3)      11       11           11                      
  (   48,    -2)      11       11           11                      
  (   48,    -1)      11       11           11                      
  (   48,     0)      11       11           11                      
  (   48,     1)      10       10           10                      -1
  (   48,     2)      10       10           10                      
  (   48,     3)      10       10           10                      
  (   48,     4)      10       10           10                      
  (   48,     5)      10       10           10                      
  (   48,     6)       9        9            9                      -1
  (   48,     7)       9        9            9                      
  (   48,     8)       9        9            9                      
  (   48,     9)       9        9            9                      
  (   48,    10)       9        9            9                      
  (   48,    11)       9        9            9                      
  (   48,    12)       9        9            9                      
  (   48,    13)       9        9            9                      
  (   48,    14)       9        9            9                      
  (   48,    15)       9        9            9                      
rises 0, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

== stepped: works across to upland, along z -26
TRANSECT 47 stations from (-47, -26) to (-1, -26), every 1
  station        ground  surface  water  top  standing            step
  (  -47,   -26)      18       18           18                      
  (  -46,   -26)      18       18           18                      
  (  -45,   -26)      18       18           18                      
  (  -44,   -26)      18       18           18                      
  (  -43,   -26)      18       18           18                      
  (  -42,   -26)      18       18           18                      
  (  -41,   -26)      18       18           18                      
  (  -40,   -26)      18       18           18                      
  (  -39,   -26)      18       18           18                      
  (  -38,   -26)      18       18           18                      
  (  -37,   -26)      18       18           18                      
  (  -36,   -26)      18       18           18                      
  (  -35,   -26)      18       18           18                      
  (  -34,   -26)      18       18           18                      
  (  -33,   -26)      18       18           18                      
  (  -32,   -26)      16       16           16                      -2
  (  -31,   -26)      16       16           16                      
  (  -30,   -26)      16       16           16                      
  (  -29,   -26)      16       16           16                      
  (  -28,   -26)      16       16           16                      
  (  -27,   -26)      17       17           17                      +1
  (  -26,   -26)      16       16           16                      -1
  (  -25,   -26)      16       16           16                      
  (  -24,   -26)      16       16           16                      
  (  -23,   -26)      15       15           15                      -1
  (  -22,   -26)      15       15           15                      
  (  -21,   -26)      14       14           14                      -1
  (  -20,   -26)      14       14           14                      
  (  -19,   -26)      14       14           14                      
  (  -18,   -26)      14       14           14                      
  (  -17,   -26)      13       13           13                      -1
  (  -16,   -26)      13       13           13                      
  (  -15,   -26)      13       13           13                      
  (  -14,   -26)      13       13           13                      
  (  -13,   -26)      13       13           13                      
  (  -12,   -26)      13       13           13                      
  (  -11,   -26)      13       13           13                      
  (  -10,   -26)      13       13           13                      
  (   -9,   -26)      13       13           13                      
  (   -8,   -26)      13       13           13                      
  (   -7,   -26)      13       13           13                      
  (   -6,   -26)      13       13           13                      
  (   -5,   -26)      13       13           13                      
  (   -4,   -26)      13       13           13                      
  (   -3,   -26)      13       13           13                      
  (   -2,   -26)      13       13           13                      
  (   -1,   -26)      13       13           13                      
rises 1, falls 5, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end

== stepped: works down to lowland, along x -40
TRANSECT 47 stations from (-40, -31) to (-40, 15), every 1
  station        ground  surface  water  top  standing            step
  (  -40,   -31)      18       18           18                      
  (  -40,   -30)      18       18           18                      
  (  -40,   -29)      18       18           18                      
  (  -40,   -28)      18       18           18                      
  (  -40,   -27)      18       18           18                      
  (  -40,   -26)      18       18           18                      
  (  -40,   -25)      18       18           18                      
  (  -40,   -24)      18       18           18                      
  (  -40,   -23)      18       18           18                      
  (  -40,   -22)      18       18           18                      
  (  -40,   -21)      18       18           18                      
  (  -40,   -20)      18       18           18                      
  (  -40,   -19)      18       18           18                      
  (  -40,   -18)      18       18           18                      
  (  -40,   -17)      18       18           18                      
  (  -40,   -16)      18       18           18                      
  (  -40,   -15)      18       18           18                      
  (  -40,   -14)      18       18           18                      
  (  -40,   -13)      18       18           18                      
  (  -40,   -12)      18       18           18                      
  (  -40,   -11)      18       18           18                      
  (  -40,   -10)      18       18           18                      
  (  -40,    -9)      18       18           18                      
  (  -40,    -8)      18       18           18                      
  (  -40,    -7)      18       18           18                      
  (  -40,    -6)      18       18           18                      
  (  -40,    -5)      18       18           18                      
  (  -40,    -4)      18       18           18                      
  (  -40,    -3)      18       18           18                      
  (  -40,    -2)      18       18           18                      
  (  -40,    -1)      18       18           18                      
  (  -40,     0)       9        9            9                      DROP -9
  (  -40,     1)       9        9            9                      
  (  -40,     2)       9        9            9                      
  (  -40,     3)       9        9            9                      
  (  -40,     4)       9        9            9                      
  (  -40,     5)       9        9            9                      
  (  -40,     6)       9        9            9                      
  (  -40,     7)       9        9            9                      
  (  -40,     8)       9        9            9                      
  (  -40,     9)       9        9            9                      
  (  -40,    10)       9        9            9                      
  (  -40,    11)       9        9            9                      
  (  -40,    12)       9        9            9                      
  (  -40,    13)       9        9            9                      
  (  -40,    14)       9        9            9                      
  (  -40,    15)       9        9            9                      
rises 0, falls 1, worst step 9: 0 barrier, 0 scramble, 1 drop — DROP -9 at (-40, 0) | walked end to end

== held: upland down to lowland, along x 112
TRANSECT 47 stations from (112, -31) to (112, 15), every 1
  station        ground  surface  water  top  standing            step
  (  112,   -31)      13       13           13                      
  (  112,   -30)      13       13           13                      
  (  112,   -29)      13       13           13                      
  (  112,   -28)      13       13           13                      
  (  112,   -27)      13       13           13                      
  (  112,   -26)      13       13           13                      
  (  112,   -25)      13       13           13                      
  (  112,   -24)      13       13           13                      
  (  112,   -23)      13       13           13                      
  (  112,   -22)      13       13           13                      
  (  112,   -21)      13       13           13                      
  (  112,   -20)      13       13           13                      
  (  112,   -19)      13       13           13                      
  (  112,   -18)      13       13           13                      
  (  112,   -17)      13       13           13                      
  (  112,   -16)      13       13           13                      
  (  112,   -15)      13       13           13                      
  (  112,   -14)      13       13           13                      
  (  112,   -13)      13       13           13                      
  (  112,   -12)      13       13           13                      
  (  112,   -11)      13       13           13                      
  (  112,   -10)      13       13           13                      
  (  112,    -9)      13       13           13                      
  (  112,    -8)      13       13           13                      
  (  112,    -7)      13       13           13                      
  (  112,    -6)      13       13           13                      
  (  112,    -5)      13       13           13                      
  (  112,    -4)      13       13           13                      
  (  112,    -3)      13       13           13                      
  (  112,    -2)      13       13           13                      
  (  112,    -1)      13       13           13                      
  (  112,     0)      13       13           13                      
  (  112,     1)      12       12           12                      -1
  (  112,     2)      12       12           12                      
  (  112,     3)      11       11           11                      -1
  (  112,     4)      11       11           11                      
  (  112,     5)      10       10           10                      -1
  (  112,     6)      10       10           10                      
  (  112,     7)       9        9            9                      -1
  (  112,     8)       9        9            9                      
  (  112,     9)       9        9            9                      
  (  112,    10)       9        9            9                      
  (  112,    11)       9        9            9                      
  (  112,    12)       9        9            9                      
  (  112,    13)       9        9            9                      
  (  112,    14)       9        9            9                      
  (  112,    15)       9        9            9                      
rises 0, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

== held: works down to lowland, along x 88
TRANSECT 47 stations from (88, -31) to (88, 15), every 1
  station        ground  surface  water  top  standing            step
  (   88,   -31)      18       18           18                      
  (   88,   -30)      18       18           18                      
  (   88,   -29)      18       18           18                      
  (   88,   -28)      18       18           18                      
  (   88,   -27)      18       18           18                      
  (   88,   -26)      18       18           18                      
  (   88,   -25)      18       18           18                      
  (   88,   -24)      18       18           18                      
  (   88,   -23)      18       18           18                      
  (   88,   -22)      18       18           18                      
  (   88,   -21)      18       18           18                      
  (   88,   -20)      18       18           18                      
  (   88,   -19)      18       18           18                      
  (   88,   -18)      18       18           18                      
  (   88,   -17)      18       18           18                      
  (   88,   -16)      18       18           18                      
  (   88,   -15)      18       18           18                      
  (   88,   -14)      18       18           18                      
  (   88,   -13)      18       18           18                      
  (   88,   -12)      18       18           18                      
  (   88,   -11)      18       18           18                      
  (   88,   -10)      18       18           18                      
  (   88,    -9)      18       18           18                      
  (   88,    -8)      18       18           18                      
  (   88,    -7)      18       18           18                      
  (   88,    -6)      18       18           18                      
  (   88,    -5)      18       18           18                      
  (   88,    -4)      18       18           18                      
  (   88,    -3)      18       18           18                      
  (   88,    -2)      18       18           18                      
  (   88,    -1)      18       18           18                      
  (   88,     0)      10       10           10                      DROP -8
  (   88,     1)       9        9            9                      -1
  (   88,     2)       9        9            9                      
  (   88,     3)       9        9            9                      
  (   88,     4)       9        9            9                      
  (   88,     5)       9        9            9                      
  (   88,     6)       9        9            9                      
  (   88,     7)       9        9            9                      
  (   88,     8)       9        9            9                      
  (   88,     9)       9        9            9                      
  (   88,    10)       9        9            9                      
  (   88,    11)       9        9            9                      
  (   88,    12)       9        9            9                      
  (   88,    13)       9        9            9                      
  (   88,    14)       9        9            9                      
  (   88,    15)       9        9            9                      
rises 0, falls 2, worst step 8: 0 barrier, 0 scramble, 1 drop — DROP -8 at (88, 0) | walked end to end

== held: works across to upland, along z -26
TRANSECT 31 stations from (81, -26) to (111, -26), every 1
  station        ground  surface  water  top  standing            step
  (   81,   -26)      18       18           18                      
  (   82,   -26)      18       18           18                      
  (   83,   -26)      18       18           18                      
  (   84,   -26)      18       18           18                      
  (   85,   -26)      18       18           18                      
  (   86,   -26)      18       18           18                      
  (   87,   -26)      18       18           18                      
  (   88,   -26)      18       18           18                      
  (   89,   -26)      18       18           18                      
  (   90,   -26)      18       18           18                      
  (   91,   -26)      18       18           18                      
  (   92,   -26)      18       18           18                      
  (   93,   -26)      18       18           18                      
  (   94,   -26)      18       18           18                      
  (   95,   -26)      18       18           18                      
  (   96,   -26)      13       13           13                      DROP -5
  (   97,   -26)      13       13           13                      
  (   98,   -26)      13       13           13                      
  (   99,   -26)      13       13           13                      
  (  100,   -26)      13       13           13                      
  (  101,   -26)      13       13           13                      
  (  102,   -26)      13       13           13                      
  (  103,   -26)      13       13           13                      
  (  104,   -26)      13       13           13                      
  (  105,   -26)      13       13           13                      
  (  106,   -26)      13       13           13                      
  (  107,   -26)      13       13           13                      
  (  108,   -26)      13       13           13                      
  (  109,   -26)      13       13           13                      
  (  110,   -26)      13       13           13                      
  (  111,   -26)      13       13           13                      
rises 0, falls 1, worst step 5: 0 barrier, 0 scramble, 1 drop — DROP -5 at (96, -26) | walked end to end
