GET /api/map/technique-water/transect?points=x,z;x,z — a line through each panel. The `water` column is
the line the body stands at; where it is blank the column is dry.

### beach — the fell, the strand and the sea running off the island's edge
TRANSECT 73 stations from (-220, -80) to (-220, -8), every 1
  station        ground  surface  water  top  standing            step
  ( -220,   -80)      30       30           30                      
rises 0, falls 19, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### pond — a level found, not stated
TRANSECT 71 stations from (-110, -80) to (-110, -10), every 1
  station        ground  surface  water  top  standing            step
  ( -110,   -80)      22       22           22                      
  ( -110,   -79)      22       22           22                      
  ( -110,   -78)      22       22           22                      
  ( -110,   -77)      22       22           22                      
  ( -110,   -76)      22       22           22                      
  ( -110,   -75)      22       22           22                      
  ( -110,   -74)      22       22           22                      
  ( -110,   -73)      22       22           22                      
  ( -110,   -72)      22       22           22                      
  ( -110,   -71)      22       22           22                      
  ( -110,   -70)      22       22           22                      
  ( -110,   -69)      22       22           22                      
  ( -110,   -68)      22       22           22                      
  ( -110,   -67)      22       22           22                      
  ( -110,   -66)      22       22           22                      
  ( -110,   -65)      22       22           22  water pond-tarn     
  ( -110,   -64)      22       22           22  water pond-tarn     
  ( -110,   -63)      22       22     22    22  water pond-tarn     
  ( -110,   -62)      22       22     22    22  water pond-tarn     
  ( -110,   -61)      22       22     22    22  water pond-tarn     
  ( -110,   -60)      22       22     22    22  water pond-tarn     
  ( -110,   -59)      22       22     22    22  water pond-tarn     
  ( -110,   -58)      22       22     22    22  water pond-tarn     
  ( -110,   -57)      22       22     22    22  water pond-tarn     
  ( -110,   -56)      22       22     22    22  water pond-tarn     
  ( -110,   -55)      22       22     22    22  water pond-tarn     
  ( -110,   -54)      22       22     22    22  water pond-tarn     
  ( -110,   -53)      22       22     22    22  water pond-tarn     
  ( -110,   -52)      22       22     22    22  water pond-tarn     
  ( -110,   -51)      22       22     22    22  water pond-tarn     
  ( -110,   -50)      22       22     22    22  water pond-tarn     
  ( -110,   -49)      22       22     22    22  water pond-tarn     
  ( -110,   -48)      22       22     22    22  water pond-tarn     
  ( -110,   -47)      22       22     22    22  water pond-tarn     
  ( -110,   -46)      22       22     22    22  water pond-tarn     
  ( -110,   -45)      22       22     22    22  water pond-tarn     
  ( -110,   -44)      22       22     22    22  water pond-tarn     
  ( -110,   -43)      22       22     22    22  water pond-tarn     
  ( -110,   -42)      22       22     22    22  water pond-tarn     
  ( -110,   -41)      22       22     22    22  water pond-tarn     
  ( -110,   -40)      22       22     22    22  water pond-tarn     
  ( -110,   -39)      22       22     22    22  water pond-tarn     
  ( -110,   -38)      22       22     22    22  water pond-tarn     
  ( -110,   -37)      22       22     22    22  water pond-tarn     
  ( -110,   -36)      22       22     22    22  water pond-tarn     
  ( -110,   -35)      22       22     22    22  water pond-tarn     
  ( -110,   -34)      22       22     22    22  water pond-tarn     
  ( -110,   -33)      22       22     22    22  water pond-tarn     
  ( -110,   -32)      22       22     22    22  water pond-tarn     
  ( -110,   -31)      22       22     22    22  water pond-tarn     
  ( -110,   -30)      22       22     22    22  water pond-tarn     
  ( -110,   -29)      22       22     22    22  water pond-tarn     
  ( -110,   -28)      22       22     22    22  water pond-tarn     
  ( -110,   -27)      22       22           22                      
  ( -110,   -26)      22       22           22                      
  ( -110,   -25)      22       22           22                      
  ( -110,   -24)      22       22           22                      
  ( -110,   -23)      22       22           22                      
  ( -110,   -22)      22       22           22                      
  ( -110,   -21)      22       22           22                      
  ( -110,   -20)      22       22           22                      
  ( -110,   -19)      22       22           22                      
  ( -110,   -18)      22       22           22                      
  ( -110,   -17)      22       22           22                      
  ( -110,   -16)      22       22           22                      
  ( -110,   -15)      22       22           22                      
  ( -110,   -14)      22       22           22                      
  ( -110,   -13)      22       22           22                      
  ( -110,   -12)      22       22           22                      
  ( -110,   -11)      22       22           22                      
  ( -110,   -10)      22       22           22                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end

### no-shore — the same pond with shore 0
TRANSECT 71 stations from (0, -80) to (0, -10), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -80)      22       22           22                      
  (    0,   -79)      22       22           22                      
  (    0,   -78)      22       22           22                      
  (    0,   -77)      22       22           22                      
  (    0,   -76)      22       22           22                      
  (    0,   -75)      22       22           22                      
  (    0,   -74)      22       22           22                      
  (    0,   -73)      22       22           22                      
  (    0,   -72)      22       22           22                      
  (    0,   -71)      22       22           22                      
  (    0,   -70)      22       22           22                      
  (    0,   -69)      22       22           22                      
  (    0,   -68)      22       22           22                      
  (    0,   -67)      22       22           22                      
  (    0,   -66)      22       22           22                      
  (    0,   -65)      22       22           22                      
  (    0,   -64)      22       22           22                      
  (    0,   -63)      22       22     22    22  water no-shore-tarn  
  (    0,   -62)      22       22     22    22  water no-shore-tarn  
  (    0,   -61)      22       22     22    22  water no-shore-tarn  
  (    0,   -60)      22       22     22    22  water no-shore-tarn  
  (    0,   -59)      22       22     22    22  water no-shore-tarn  
  (    0,   -58)      22       22     22    22  water no-shore-tarn  
  (    0,   -57)      22       22     22    22  water no-shore-tarn  
  (    0,   -56)      22       22     22    22  water no-shore-tarn  
  (    0,   -55)      22       22     22    22  water no-shore-tarn  
  (    0,   -54)      22       22     22    22  water no-shore-tarn  
  (    0,   -53)      22       22     22    22  water no-shore-tarn  
  (    0,   -52)      22       22     22    22  water no-shore-tarn  
  (    0,   -51)      22       22     22    22  water no-shore-tarn  
  (    0,   -50)      22       22     22    22  water no-shore-tarn  
  (    0,   -49)      22       22     22    22  water no-shore-tarn  
  (    0,   -48)      22       22     22    22  water no-shore-tarn  
  (    0,   -47)      22       22     22    22  water no-shore-tarn  
  (    0,   -46)      22       22     22    22  water no-shore-tarn  
  (    0,   -45)      22       22     22    22  water no-shore-tarn  
  (    0,   -44)      22       22     22    22  water no-shore-tarn  
  (    0,   -43)      22       22     22    22  water no-shore-tarn  
  (    0,   -42)      22       22     22    22  water no-shore-tarn  
  (    0,   -41)      22       22     22    22  water no-shore-tarn  
  (    0,   -40)      22       22     22    22  water no-shore-tarn  
  (    0,   -39)      22       22     22    22  water no-shore-tarn  
  (    0,   -38)      22       22     22    22  water no-shore-tarn  
  (    0,   -37)      22       22     22    22  water no-shore-tarn  
  (    0,   -36)      22       22     22    22  water no-shore-tarn  
  (    0,   -35)      22       22     22    22  water no-shore-tarn  
  (    0,   -34)      22       22     22    22  water no-shore-tarn  
  (    0,   -33)      22       22     22    22  water no-shore-tarn  
  (    0,   -32)      22       22     22    22  water no-shore-tarn  
  (    0,   -31)      22       22     22    22  water no-shore-tarn  
  (    0,   -30)      22       22     22    22  water no-shore-tarn  
  (    0,   -29)      22       22           22                      
  (    0,   -28)      22       22           22                      
  (    0,   -27)      22       22           22                      
  (    0,   -26)      22       22           22                      
  (    0,   -25)      22       22           22                      
  (    0,   -24)      22       22           22                      
  (    0,   -23)      22       22           22                      
  (    0,   -22)      22       22           22                      
  (    0,   -21)      22       22           22                      
  (    0,   -20)      22       22           22                      
  (    0,   -19)      22       22           22                      
  (    0,   -18)      22       22           22                      
  (    0,   -17)      22       22           22                      
  (    0,   -16)      22       22           22                      
  (    0,   -15)      22       22           22                      
  (    0,   -14)      22       22           22                      
  (    0,   -13)      22       22           22                      
  (    0,   -12)      22       22           22                      
  (    0,   -11)      22       22           22                      
  (    0,   -10)      22       22           22                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end

### two-forms — the canal and the stream
TRANSECT 71 stations from (110, -80) to (110, -10), every 1
  station        ground  surface  water  top  standing            step
  (  110,   -80)      20       20           20                      
  (  110,   -79)      20       20           20                      
  (  110,   -78)      20       20           20                      
  (  110,   -77)      20       20           20                      
  (  110,   -76)      20       20           20                      
  (  110,   -75)      20       20           20                      
  (  110,   -74)      20       20           20                      
  (  110,   -73)      20       20           20                      
  (  110,   -72)      20       20           20                      
  (  110,   -71)      20       20           20                      
  (  110,   -70)      20       20           20                      
  (  110,   -69)      20       20           20                      
  (  110,   -68)      20       20           20  water two-forms-cut  
  (  110,   -67)      20       20           20  water two-forms-cut  
  (  110,   -66)      20       20           20  water two-forms-cut  
  (  110,   -65)      20       20     20    20  water two-forms-cut  
  (  110,   -64)      20       20     20    20  water two-forms-cut  
  (  110,   -63)      20       20     20    20  water two-forms-cut  
  (  110,   -62)      20       20     20    20  water two-forms-cut  
  (  110,   -61)      20       20     20    20  water two-forms-cut  
  (  110,   -60)      20       20     20    20  water two-forms-cut  
  (  110,   -59)      20       20     20    20  water two-forms-cut  
  (  110,   -58)      20       20     20    20  water two-forms-cut  
  (  110,   -57)      20       20           20  water two-forms-cut  
  (  110,   -56)      20       20           20  water two-forms-cut  
  (  110,   -55)      20       20           20  water two-forms-cut  
  (  110,   -54)      20       20           20                      
  (  110,   -53)      20       20           20                      
  (  110,   -52)      20       20           20                      
  (  110,   -51)      20       20           20                      
  (  110,   -50)      20       20           20                      
  (  110,   -49)      20       20           20                      
  (  110,   -48)      20       20           20                      
  (  110,   -47)      20       20           20                      
  (  110,   -46)      20       20           20                      
  (  110,   -45)      20       20           20                      
  (  110,   -44)      20       20           20                      
  (  110,   -43)      20       20           20                      
  (  110,   -42)      20       20           20                      
  (  110,   -41)      20       20           20                      
  (  110,   -40)      20       20           20                      
  (  110,   -39)      20       20           20                      
  (  110,   -38)      20       20           20  water two-forms-beck  
  (  110,   -37)      20       20           20  water two-forms-beck  
  (  110,   -36)      20       20           20  water two-forms-beck  
  (  110,   -35)      20       20           20  water two-forms-beck  
  (  110,   -34)      20       20           20  water two-forms-beck  
  (  110,   -33)      20       20           20  water two-forms-beck  
  (  110,   -32)      20       20     20    20  water two-forms-beck  
  (  110,   -31)      20       20     20    20  water two-forms-beck  
  (  110,   -30)      20       20     20    20  water two-forms-beck  
  (  110,   -29)      20       20     20    20  water two-forms-beck  
  (  110,   -28)      20       20     20    20  water two-forms-beck  
  (  110,   -27)      20       20     20    20  water two-forms-beck  
  (  110,   -26)      20       20     20    20  water two-forms-beck  
  (  110,   -25)      20       20           20  water two-forms-beck  
  (  110,   -24)      20       20           20  water two-forms-beck  
  (  110,   -23)      20       20           20  water two-forms-beck  
  (  110,   -22)      20       20           20  water two-forms-beck  
  (  110,   -21)      20       20           20                      
  (  110,   -20)      20       20           20                      
  (  110,   -19)      20       20           20                      
  (  110,   -18)      20       20           20                      
  (  110,   -17)      20       20           20                      
  (  110,   -16)      20       20           20                      
  (  110,   -15)      20       20           20                      
  (  110,   -14)      20       20           20                      
  (  110,   -13)      20       20           20                      
  (  110,   -12)      20       20           20                      
  (  110,   -11)      20       20           20                      
  (  110,   -10)      20       20           20                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end

### basin — dug with a sink shape, filled at a stated level
TRANSECT 71 stations from (220, -80) to (220, -10), every 1
  station        ground  surface  water  top  standing            step
  (  220,   -80)      22       22           22                      
  (  220,   -79)      22       22           22                      
  (  220,   -78)      22       22           22                      
  (  220,   -77)      22       22           22                      
  (  220,   -76)      22       22           22                      
  (  220,   -75)      22       22           22                      
  (  220,   -74)      22       22           22                      
  (  220,   -73)      22       22           22                      
  (  220,   -72)      22       22           22                      
  (  220,   -71)      22       22           22                      
  (  220,   -70)      22       22           22                      
  (  220,   -69)      22       22           22                      
  (  220,   -68)      22       22           22                      
  (  220,   -67)      22       22           22                      
  (  220,   -66)      22       22           22                      
  (  220,   -65)      22       22           22                      
  (  220,   -64)      22       22           22                      
  (  220,   -63)      22       22           22                      
  (  220,   -62)      22       22           22                      
  (  220,   -61)      14       14     21    21  water basin-dock-water  DROP -8
  (  220,   -60)      14       14     21    21  water basin-dock-water  
  (  220,   -59)      14       14     21    21  water basin-dock-water  
  (  220,   -58)      14       14     21    21  water basin-dock-water  
  (  220,   -57)      14       14     21    21  water basin-dock-water  
  (  220,   -56)      14       14     21    21  water basin-dock-water  
  (  220,   -55)      14       14     21    21  water basin-dock-water  
  (  220,   -54)      14       14     21    21  water basin-dock-water  
  (  220,   -53)      14       14     21    21  water basin-dock-water  
  (  220,   -52)      14       14     21    21  water basin-dock-water  
  (  220,   -51)      14       14     21    21  water basin-dock-water  
  (  220,   -50)      14       14     21    21  water basin-dock-water  
  (  220,   -49)      14       14     21    21  water basin-dock-water  
  (  220,   -48)      14       14     21    21  water basin-dock-water  
  (  220,   -47)      14       14     21    21  water basin-dock-water  
  (  220,   -46)      14       14     21    21  water basin-dock-water  
  (  220,   -45)      14       14     21    21  water basin-dock-water  
  (  220,   -44)      14       14     21    21  water basin-dock-water  
  (  220,   -43)      14       14     21    21  water basin-dock-water  
  (  220,   -42)      14       14     21    21  water basin-dock-water  
  (  220,   -41)      14       14     21    21  water basin-dock-water  
  (  220,   -40)      14       14     21    21  water basin-dock-water  
  (  220,   -39)      14       14     21    21  water basin-dock-water  
  (  220,   -38)      14       14     21    21  water basin-dock-water  
  (  220,   -37)      14       14     21    21  water basin-dock-water  
  (  220,   -36)      14       14     21    21  water basin-dock-water  
  (  220,   -35)      14       14     21    21  water basin-dock-water  
  (  220,   -34)      14       14     21    21  water basin-dock-water  
  (  220,   -33)      14       14     21    21  water basin-dock-water  
  (  220,   -32)      14       14     21    21  water basin-dock-water  
  (  220,   -31)      14       14     21    21  water basin-dock-water  
  (  220,   -30)      14       14     21    21  water basin-dock-water  
  (  220,   -29)      22       22           22                      BARRIER +8
  (  220,   -28)      22       22           22                      
  (  220,   -27)      22       22           22                      
  (  220,   -26)      22       22           22                      
  (  220,   -25)      22       22           22                      
  (  220,   -24)      22       22           22                      
  (  220,   -23)      22       22           22                      
  (  220,   -22)      22       22           22                      
  (  220,   -21)      22       22           22                      
  (  220,   -20)      22       22           22                      
  (  220,   -19)      22       22           22                      
  (  220,   -18)      22       22           22                      
  (  220,   -17)      22       22           22                      
  (  220,   -16)      22       22           22                      
  (  220,   -15)      22       22           22                      
  (  220,   -14)      22       22           22                      
  (  220,   -13)      22       22           22                      
  (  220,   -12)      22       22           22                      
  (  220,   -11)      22       22           22                      
  (  220,   -10)      22       22           22                      
rises 1, falls 1, worst step 8: 1 barrier, 0 scramble, 1 drop — DROP -8 at (220, -61); BARRIER +8 at (220, -29) | walked end to end

### pan-too-big — the mark drawn at the size of the hollow
TRANSECT 71 stations from (-220, 10) to (-220, 80), every 1
  station        ground  surface  water  top  standing            step
  ( -220,    10)      20       20           20                      
  ( -220,    11)      20       20           20                      
  ( -220,    12)      20       20           20                      
  ( -220,    13)      20       20           20                      
  ( -220,    14)      20       20           20                      
  ( -220,    15)      20       20           20                      
  ( -220,    16)      20       20           20                      
  ( -220,    17)      20       20           20                      
  ( -220,    18)      20       20           20                      
  ( -220,    19)      20       20           20                      
  ( -220,    20)      20       20           20                      
  ( -220,    21)      20       20           20                      
  ( -220,    22)      20       20           20                      
  ( -220,    23)      20       20           20                      
  ( -220,    24)      18       18           18                      -2
  ( -220,    25)      18       18           18                      
  ( -220,    26)      16       16           16                      -2
  ( -220,    27)      16       16           16                      
  ( -220,    28)      14       14           14                      -2
  ( -220,    29)      14       14           14                      
  ( -220,    30)      14       14           14                      
  ( -220,    31)      14       14           14                      
  ( -220,    32)      14       14           14                      
  ( -220,    33)      14       14           14  water pan-too-big-sump  
  ( -220,    34)      14       14           14  water pan-too-big-sump  
  ( -220,    35)      14       14     14    14  water pan-too-big-sump  
  ( -220,    36)      14       14     14    14  water pan-too-big-sump  
  ( -220,    37)      14       14     14    14  water pan-too-big-sump  
  ( -220,    38)      14       14     14    14  water pan-too-big-sump  
  ( -220,    39)      14       14     14    14  water pan-too-big-sump  
  ( -220,    40)      14       14     14    14  water pan-too-big-sump  
  ( -220,    41)      14       14     14    14  water pan-too-big-sump  
  ( -220,    42)      14       14     14    14  water pan-too-big-sump  
  ( -220,    43)      14       14     14    14  water pan-too-big-sump  
  ( -220,    44)      14       14     14    14  water pan-too-big-sump  
  ( -220,    45)      14       14     14    14  water pan-too-big-sump  
  ( -220,    46)      14       14     14    14  water pan-too-big-sump  
  ( -220,    47)      14       14     14    14  water pan-too-big-sump  
  ( -220,    48)      14       14     14    14  water pan-too-big-sump  
  ( -220,    49)      14       14     14    14  water pan-too-big-sump  
  ( -220,    50)      14       14     14    14  water pan-too-big-sump  
  ( -220,    51)      14       14     14    14  water pan-too-big-sump  
  ( -220,    52)      14       14     14    14  water pan-too-big-sump  
  ( -220,    53)      14       14     14    14  water pan-too-big-sump  
  ( -220,    54)      14       14     14    14  water pan-too-big-sump  
  ( -220,    55)      14       14     14    14  water pan-too-big-sump  
  ( -220,    56)      14       14           14  water pan-too-big-sump  
  ( -220,    57)      14       14           14  water pan-too-big-sump  
  ( -220,    58)      14       14           14                      
  ( -220,    59)      14       14           14                      
  ( -220,    60)      14       14           14                      
  ( -220,    61)      14       14           14                      
  ( -220,    62)      16       16           16                      scramble +2
  ( -220,    63)      16       16           16                      
  ( -220,    64)      18       18           18                      scramble +2
  ( -220,    65)      18       18           18                      
  ( -220,    66)      20       20           20                      scramble +2
  ( -220,    67)      20       20           20                      
  ( -220,    68)      20       20           20                      
  ( -220,    69)      20       20           20                      
  ( -220,    70)      20       20           20                      
  ( -220,    71)      20       20           20                      
  ( -220,    72)      20       20           20                      
  ( -220,    73)      20       20           20                      
  ( -220,    74)      20       20           20                      
  ( -220,    75)      20       20           20                      
  ( -220,    76)      20       20           20                      
  ( -220,    77)      20       20           20                      
  ( -220,    78)      20       20           20                      
  ( -220,    79)      20       20           20                      
  ( -220,    80)      20       20           20                      
rises 3, falls 3, worst step 2: 0 barrier, 3 scramble, 0 drop — scramble +2 at (-220, 62); scramble +2 at (-220, 64); scramble +2 at (-220, 66) | walked end to end

### pan-fits — the mark drawn at the size of the water
TRANSECT 71 stations from (-110, 10) to (-110, 80), every 1
  station        ground  surface  water  top  standing            step
  ( -110,    10)      20       20           20                      
  ( -110,    11)      20       20           20                      
  ( -110,    12)      20       20           20                      
  ( -110,    13)      20       20           20                      
  ( -110,    14)      20       20           20                      
  ( -110,    15)      20       20           20                      
  ( -110,    16)      20       20           20                      
  ( -110,    17)      20       20           20                      
  ( -110,    18)      20       20           20                      
  ( -110,    19)      20       20           20                      
  ( -110,    20)      20       20           20                      
  ( -110,    21)      20       20           20                      
  ( -110,    22)      20       20           20                      
  ( -110,    23)      20       20           20                      
  ( -110,    24)      20       20           20                      
  ( -110,    25)      20       20           20                      
  ( -110,    26)      20       20           20                      
  ( -110,    27)      20       20           20                      
  ( -110,    28)      20       20           20                      
  ( -110,    29)      20       20           20                      
  ( -110,    30)      20       20           20                      
  ( -110,    31)      19       19           19                      -1
  ( -110,    32)      19       19           19                      
  ( -110,    33)      18       18           18                      -1
  ( -110,    34)      17       17           17  water pan-fits-sump  -1
  ( -110,    35)      16       16     14    14  water pan-fits-sump  -1
  ( -110,    36)      16       16     14    14  water pan-fits-sump  
  ( -110,    37)      15       15     14    14  water pan-fits-sump  -1
  ( -110,    38)      14       14     14    14  water pan-fits-sump  -1
  ( -110,    39)      14       14     14    14  water pan-fits-sump  
  ( -110,    40)      14       14     14    14  water pan-fits-sump  
  ( -110,    41)      14       14     14    14  water pan-fits-sump  
  ( -110,    42)      14       14     14    14  water pan-fits-sump  
  ( -110,    43)      14       14     14    14  water pan-fits-sump  
  ( -110,    44)      14       14     14    14  water pan-fits-sump  
  ( -110,    45)      14       14     14    14  water pan-fits-sump  
  ( -110,    46)      14       14     14    14  water pan-fits-sump  
  ( -110,    47)      14       14     14    14  water pan-fits-sump  
  ( -110,    48)      14       14     14    14  water pan-fits-sump  
  ( -110,    49)      14       14     14    14  water pan-fits-sump  
  ( -110,    50)      14       14     14    14  water pan-fits-sump  
  ( -110,    51)      14       14     14    14  water pan-fits-sump  
  ( -110,    52)      15       15     14    14  water pan-fits-sump  +1
  ( -110,    53)      16       16     14    14  water pan-fits-sump  +1
  ( -110,    54)      16       16     14    14  water pan-fits-sump  
  ( -110,    55)      17       17     14    14  water pan-fits-sump  +1
  ( -110,    56)      18       18           18  water pan-fits-sump  +1
  ( -110,    57)      19       19           19  water pan-fits-sump  +1
  ( -110,    58)      19       19           19                      
  ( -110,    59)      20       20           20                      +1
  ( -110,    60)      20       20           20                      
  ( -110,    61)      20       20           20                      
  ( -110,    62)      20       20           20                      
  ( -110,    63)      20       20           20                      
  ( -110,    64)      20       20           20                      
  ( -110,    65)      20       20           20                      
  ( -110,    66)      20       20           20                      
  ( -110,    67)      20       20           20                      
  ( -110,    68)      20       20           20                      
  ( -110,    69)      20       20           20                      
  ( -110,    70)      20       20           20                      
  ( -110,    71)      20       20           20                      
  ( -110,    72)      20       20           20                      
  ( -110,    73)      20       20           20                      
  ( -110,    74)      20       20           20                      
  ( -110,    75)      20       20           20                      
  ( -110,    76)      20       20           20                      
  ( -110,    77)      20       20           20                      
  ( -110,    78)      20       20           20                      
  ( -110,    79)      20       20           20                      
  ( -110,    80)      20       20           20                      
rises 6, falls 6, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### down-a-hill — the line is the foot of the fall, and the run is trenched to it
TRANSECT 71 stations from (0, 10) to (0, 80), every 1
  station        ground  surface  water  top  standing            step
  (    0,    10)      30       30           30  water down-a-hill-beck  
  (    0,    11)      30       30           30  water down-a-hill-beck  
  (    0,    12)      30       30     16    16  water down-a-hill-beck  
  (    0,    13)      30       30     16    16  water down-a-hill-beck  
  (    0,    14)      30       30     16    16  water down-a-hill-beck  
  (    0,    15)      30       30     16    16  water down-a-hill-beck  
  (    0,    16)      30       30     16    16  water down-a-hill-beck  
  (    0,    17)      30       30     16    16  water down-a-hill-beck  
  (    0,    18)      30       30     16    16  water down-a-hill-beck  
  (    0,    19)      30       30     16    16  water down-a-hill-beck  
  (    0,    20)      29       29     16    16  water down-a-hill-beck  -1
  (    0,    21)      29       29     16    16  water down-a-hill-beck  
  (    0,    22)      29       29     16    16  water down-a-hill-beck  
  (    0,    23)      29       29     16    16  water down-a-hill-beck  
  (    0,    24)      28       28     16    16  water down-a-hill-beck  -1
  (    0,    25)      28       28     16    16  water down-a-hill-beck  
  (    0,    26)      28       28     16    16  water down-a-hill-beck  
  (    0,    27)      28       28     16    16  water down-a-hill-beck  
  (    0,    28)      27       27     16    16  water down-a-hill-beck  -1
  (    0,    29)      27       27     16    16  water down-a-hill-beck  
  (    0,    30)      27       27     16    16  water down-a-hill-beck  
  (    0,    31)      27       27     16    16  water down-a-hill-beck  
  (    0,    32)      26       26     16    16  water down-a-hill-beck  -1
  (    0,    33)      26       26     16    16  water down-a-hill-beck  
  (    0,    34)      26       26     16    16  water down-a-hill-beck  
  (    0,    35)      26       26     16    16  water down-a-hill-beck  
  (    0,    36)      25       25     16    16  water down-a-hill-beck  -1
  (    0,    37)      25       25     16    16  water down-a-hill-beck  
  (    0,    38)      25       25     16    16  water down-a-hill-beck  
  (    0,    39)      24       24     16    16  water down-a-hill-beck  -1
  (    0,    40)      24       24     16    16  water down-a-hill-beck  
  (    0,    41)      24       24     16    16  water down-a-hill-beck  
  (    0,    42)      24       24     16    16  water down-a-hill-beck  
  (    0,    43)      23       23     16    16  water down-a-hill-beck  -1
  (    0,    44)      23       23     16    16  water down-a-hill-beck  
  (    0,    45)      23       23     16    16  water down-a-hill-beck  
  (    0,    46)      23       23     16    16  water down-a-hill-beck  
  (    0,    47)      22       22     16    16  water down-a-hill-beck  -1
  (    0,    48)      22       22     16    16  water down-a-hill-beck  
  (    0,    49)      22       22     16    16  water down-a-hill-beck  
  (    0,    50)      22       22     16    16  water down-a-hill-beck  
  (    0,    51)      21       21     16    16  water down-a-hill-beck  -1
  (    0,    52)      21       21     16    16  water down-a-hill-beck  
  (    0,    53)      21       21     16    16  water down-a-hill-beck  
  (    0,    54)      20       20     16    16  water down-a-hill-beck  -1
  (    0,    55)      20       20     16    16  water down-a-hill-beck  
  (    0,    56)      20       20     16    16  water down-a-hill-beck  
  (    0,    57)      20       20     16    16  water down-a-hill-beck  
  (    0,    58)      19       19     16    16  water down-a-hill-beck  -1
  (    0,    59)      19       19     16    16  water down-a-hill-beck  
  (    0,    60)      19       19     16    16  water down-a-hill-beck  
