components 117 · navigable 13176 columns · bridgeable 0 · build ceiling y41

116 patch(es) of standing ground no player can get to. None of this is a fault — scenery and a side observer island read exactly like this — but a shape stranded by accident reads like it too, and only the author can tell them apart.
      4    y19  no-build-zone   x 82..83, z -39..-38
      4    y19  no-build-zone   x 82..83, z -33..-32
      1    y31  no-build-zone   x -22..-22, z -22..-22
      1    y28  no-build-zone   x -22..-22, z -17..-17
      1    y31  no-build-zone   x -22..-22, z 16..16
      1    y28  no-build-zone   x -22..-22, z 21..21
      1    y31  no-build-zone   x -17..-17, z -22..-22
      1    y28  no-build-zone   x -17..-17, z -17..-17
      1    y31  no-build-zone   x -17..-17, z 16..16
      1    y28  no-build-zone   x -17..-17, z 21..21
      1    y31  no-build-zone   x 16..16, z -22..-22
      1    y28  no-build-zone   x 16..16, z -17..-17
      1    y31  no-build-zone   x 16..16, z 16..16
      1    y28  no-build-zone   x 16..16, z 21..21
      1    y31  no-build-zone   x 21..21, z -22..-22
      1    y28  no-build-zone   x 21..21, z -17..-17
      1    y31  no-build-zone   x 21..21, z 16..16
      1    y28  no-build-zone   x 21..21, z 21..21

  no-build-zone   nothing the map opens to bridging reaches it, and it is not walked to
  above-ceiling   its ground stands over the map's maxbuildheight and cannot be built up to
