## serp-plain (r14, no tread) — across the limbs at x=-110
TRANSECT 71 stations from (-110, -80) to (-110, -10), every 1
  station        ground  surface  water  top  standing            step
  ( -129,    41)      14       14           14                      -3
  ( -128,    41)      12       12           12                      -2
  ( -127,    41)      12       12           12                      
  ( -126,    41)      12       12           12                      
  ( -125,    41)      12       12           12                      
  ( -124,    41)      12       12           12                      
  ( -123,    41)      10       10           10                      -2
  ( -122,    41)       8        8            8                      -2
  ( -121,    41)       7        7            7                      -1
  ( -120,    41)       7        7            7                      
  ( -119,    41)       7        7            7                      
  ( -118,    41)       7        7            7                      
  ( -117,    41)       7        7            7                      
  ( -116,    41)       7        7            7                      
  ( -115,    41)       6        6            6                      -1
  ( -114,    41)       6        6            6                      
  ( -113,    41)       6        6            6                      
  ( -112,    41)       6        6            6                      
  ( -111,    41)       6        6            6                      
  ( -110,    41)       6        6            6                      
  ( -109,    41)       6        6            6                      
  ( -108,    41)       6        6            6                      
  ( -107,    41)       6        6            6                      
  ( -106,    41)       6        6            6                      
  ( -105,    41)       6        6            6                      
  ( -104,    41)       6        6            6                      
  ( -103,    41)       6        6            6                      
  ( -102,    41)       7        7            7                      +1
  ( -101,    41)       9        9            9                      scramble +2
  ( -100,    41)       9        9            9                      
  (  -99,    41)       9        9            9                      
  (  -98,    41)       9        9            9                      
  (  -97,    41)       9        9            9                      
  (  -96,    41)      11       11           11                      scramble +2
  (  -95,    41)      12       12           12                      +1
  (  -94,    41)      14       14           14                      scramble +2
  (  -93,    41)      15       15           15                      +1
  (  -92,    41)      15       15           15                      
  (  -91,    41)      15       15           15                      
  (  -90,    41)      15       15           15                      
  (  -89,    41)      16       16           16                      +1
  (  -88,    41)      19       19           19                      BARRIER +3
  (  -87,    41)      22       22           22                      BARRIER +3
  (  -86,    41)      24       24           24                      scramble +2
  (  -85,    41)      24       24           24                      
  (  -84,    41)      24       24           24                      
  (  -83,    41)      24       24           24                      
  (  -82,    41)      24       24           24                      
  (  -81,    41)      28       28           28                      BARRIER +4
  (  -80,    41)      31       31           31                      BARRIER +3
  (  -79,    41)      34       34           34                      BARRIER +3
  (  -78,    41)      36       36           36                      scramble +2
  (  -77,    41)      36       36           36                      
  (  -76,    41)      36       36           36                      
  (  -75,    41)      36       36           36                      
  (  -74,    41)      35       35           35                      -1
  (  -73,    41)      35       35           35                      
  (  -72,    41)      35       35           35                      
  (  -71,    41)      34       34           34                      -1
  (  -70,    41)      34       34           34                      
  (  -69,    41)      34       34           34                      
  (  -68,    41)      34       34           34                      
  (  -67,    41)      34       34           34                      
  (  -66,    41)      34       34           34                      
  (  -65,    41)                                                    void
rises 14, falls 13, worst step 4: 5 barrier, 5 scramble, 0 drop — scramble +2 at (-101, 41); scramble +2 at (-96, 41); scramble +2 at (-94, 41); BARRIER +3 at (-88, 41); BARRIER +3 at (-87, 41); scramble +2 at (-86, 41); BARRIER +4 at (-81, 41); BARRIER +3 at (-80, 41); BARRIER +3 at (-79, 41); scramble +2 at (-78, 41) | walked end to end

## seated — across the road between two pinned pads, at x=102
TRANSECT 71 stations from (102, 6) to (102, 76), every 1
  station        ground  surface  water  top  standing            step
  (  102,     6)      33       33           33                      
  (  102,     7)      33       33           33                      
  (  102,     8)      33       33           33                      
  (  102,     9)      33       33           33                      
  (  102,    10)      33       33           33                      
  (  102,    11)      33       33           33                      
  (  102,    12)      33       33           33                      
  (  102,    13)      33       33           33                      
  (  102,    14)      34       34           34                      +1
  (  102,    15)      34       34           34                      
  (  102,    16)      34       34           34                      
  (  102,    17)      34       34           34                      
  (  102,    18)      34       34           34                      
  (  102,    19)      34       34           34                      
  (  102,    20)      34       34           34                      
  (  102,    21)      33       33           33                      -1
  (  102,    22)      33       33           33                      
  (  102,    23)      32       32           32                      -1
  (  102,    24)      31       31           31                      -1
  (  102,    25)      31       31           31                      
  (  102,    26)      30       30           30                      -1
  (  102,    27)      29       29           29                      -1
  (  102,    28)      27       27           27                      -2
  (  102,    29)      26       26           26                      -1
  (  102,    30)      25       25           25                      -1
  (  102,    31)      24       24           24                      -1
  (  102,    32)      24       24           24                      
  (  102,    33)      23       23           23                      -1
  (  102,    34)      23       23           23                      
  (  102,    35)      22       22           22                      -1
  (  102,    36)      22       22           22                      
  (  102,    37)      21       21           21                      -1
  (  102,    38)      21       21           21                      
  (  102,    39)      21       21           21                      
  (  102,    40)      21       21           21                      
  (  102,    41)      21       21           21                      
  (  102,    42)      21       21           21                      
  (  102,    43)      21       21           21                      
  (  102,    44)      21       21           21                      
  (  102,    45)      20       20           20                      -1
  (  102,    46)      20       20           20                      
  (  102,    47)      19       19           19                      -1
  (  102,    48)      19       19           19                      
  (  102,    49)      18       18           18                      -1
  (  102,    50)      18       18           18                      
  (  102,    51)      17       17           17                      -1
  (  102,    52)      17       17           17                      
  (  102,    53)      16       16           16                      -1
  (  102,    54)      15       15           15                      -1
  (  102,    55)      14       14           14                      -1
  (  102,    56)      13       13           13                      -1
  (  102,    57)      12       12           12                      -1
  (  102,    58)      11       11           11                      -1
  (  102,    59)      10       10           10                      -1
  (  102,    60)       9        9            9                      -1
  (  102,    61)       9        9            9                      
  (  102,    62)       8        8            8                      -1
  (  102,    63)       8        8            8                      
  (  102,    64)       8        8            8                      
  (  102,    65)       8        8            8                      
  (  102,    66)       8        8            8                      
  (  102,    67)       8        8            8                      
  (  102,    68)       9        9            9                      +1
  (  102,    69)       9        9            9                      
  (  102,    70)       9        9            9                      
  (  102,    71)       9        9            9                      
  (  102,    72)       9        9            9                      
  (  102,    73)       9        9            9                      
  (  102,    74)       9        9            9                      
  (  102,    75)       9        9            9                      
  (  102,    76)                                                    void
rises 2, falls 25, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
## pitch-ladder — across all four gaps at x=-4 (r 8, tread 3; window 6 < pitch <= 16)
## pitches 22, 16, 11, 7 — the first never meets (relaxation), the last has one cell of run
TRANSECT 71 stations from (-4, 6) to (-4, 76), every 1
  station        ground  surface  water  top  standing            step
  (   -4,     6)      34       34           34                      
  (   -4,     7)      34       34           34                      
  (   -4,     8)      34       34           34                      
  (   -4,     9)      34       34           34                      
  (   -4,    10)      34       34           34                      
  (   -4,    11)      34       34           34                      
  (   -4,    12)      34       34           34                      
  (   -4,    13)      34       34           34                      
  (   -4,    14)      34       34           34                      
  (   -4,    15)      34       34           34                      
  (   -4,    16)      33       33           33                      -1
  (   -4,    17)      33       33           33                      
  (   -4,    18)      32       32           32                      -1
  (   -4,    19)      32       32           32                      
  (   -4,    20)      31       31           31                      -1
  (   -4,    21)      31       31           31                      
  (   -4,    22)      31       31           31                      
  (   -4,    23)      30       30           30                      -1
  (   -4,    24)      30       30           30                      
  (   -4,    25)      29       29           29                      -1
  (   -4,    26)      29       29           29                      
  (   -4,    27)      29       29           29                      
  (   -4,    28)      28       28           28                      -1
  (   -4,    29)      28       28           28                      
  (   -4,    30)      27       27           27                      -1
  (   -4,    31)      27       27           27                      
  (   -4,    32)      27       27           27                      
  (   -4,    33)      27       27           27                      
  (   -4,    34)      27       27           27                      
  (   -4,    35)      27       27           27                      
  (   -4,    36)      27       27           27                      
  (   -4,    37)      27       27           27                      
  (   -4,    38)      26       26           26                      -1
  (   -4,    39)      26       26           26                      
  (   -4,    40)      25       25           25                      -1
  (   -4,    41)      24       24           24                      -1
  (   -4,    42)      24       24           24                      
  (   -4,    43)      23       23           23                      -1
  (   -4,    44)      22       22           22                      -1
  (   -4,    45)      22       22           22                      
  (   -4,    46)      21       21           21                      -1
  (   -4,    47)      20       20           20                      -1
  (   -4,    48)      20       20           20                      
  (   -4,    49)      20       20           20                      
  (   -4,    50)      20       20           20                      
  (   -4,    51)      20       20           20                      
  (   -4,    52)      20       20           20                      
  (   -4,    53)      20       20           20                      
  (   -4,    54)      19       19           19                      -1
  (   -4,    55)      18       18           18                      -1
  (   -4,    56)      18       18           18                      
  (   -4,    57)      17       17           17                      -1
  (   -4,    58)      16       16           16                      -1
  (   -4,    59)      15       15           15                      -1
  (   -4,    60)      15       15           15                      
  (   -4,    61)      15       15           15                      
  (   -4,    62)      15       15           15                      
  (   -4,    63)      15       15           15                      
  (   -4,    64)      15       15           15                      
  (   -4,    65)      15       15           15                      
  (   -4,    66)       9        9            9                      DROP -6
  (   -4,    67)       8        8            8                      -1
  (   -4,    68)       8        8            8                      
  (   -4,    69)       8        8            8                      
  (   -4,    70)       8        8            8                      
  (   -4,    71)       8        8            8                      
  (   -4,    72)       8        8            8                      
  (   -4,    73)       8        8            8                      
  (   -4,    74)       8        8            8                      
  (   -4,    75)       8        8            8                      
  (   -4,    76)                                                    void
rises 0, falls 21, worst step 6: 0 barrier, 0 scramble, 1 drop — DROP -6 at (-4, 66) | walked end to end

