      | -4        -3        -2        -1         0         1         2         3         4 |
  -19 |      MMMMMLLLLLLLLBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBJJJJJFFFFFFFFFFFFFFF   |
  -18 |      MMMMMLLLLLLLLBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBJJJJJFFFFFFFFFFFFFFF   |
  -17 |      MMMMM        BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBJJJJJFFFFFFFFFFFFFFF   |
  -16 |      MMMMM        BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB                       |
  -15 |      MMMMM        NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN                       |
  -14 |      MMMMM        NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN                       |
  -13 |      MMMMM        NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN                       |
  -12 |      MMMMM        NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN                       |
  -11 |      MMMMM        NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN                       |
  -10 |      VVVVV        NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN                       |
   -9 |      VV¤VV            PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP                       |
   -8 |                       PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP                       |
   -7 |                       ++++++++++++++++++++++++++++++++++++++                       |
   -6 |                       ++++++++++++++++++++++++++++++++++++++                       |
   -5 |                       ++++++++++++++++++++++++++++++++++++++                       |
   -4 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
   -3 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
   -2 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
   -1 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
    0 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
    1 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
    2 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
    3 |                       +RRRRRRRRRR+++QQQQQQQQQQ+++RRRRRRRRRR+                       |
    4 |                       ++++++++++++++++++++++++++++++++++++++                       |
    5 |                       ++++++++++++++++++++++++++++++++++++++                       |
    6 |                       ++++++++++++++++++++++++++++++++++++++                       |
    7 |                       PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP                       |
    8 |                       PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP            VVVVV      |
    9 |                       NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN        VV¤VV      |
   10 |                       NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN        MMMMM      |
   11 |                       NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN        MMMMM      |
   12 |                       NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN        MMMMM      |
   13 |                       NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN        MMMMM      |
   14 |                       NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN        MMMMM      |
   15 |                       BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB        MMMMM      |
   16 |   FFFFFFFFFFFFFFFJJJJJBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB        MMMMM      |
   17 |   FFFFFFFFFFFFFFFJJJJJBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBLLLLLLLLMMMMM      |
   18 |   FFFFFFFFFFFFFFFJJJJJBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBLLLLLLLLMMMMM      |
   19 |   FFFFFFFFFFFFFFFJJJJJBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBLLLLLLLLMMMMM      |
   20 |   FFFFFFFFFFFFFFFJJJJJBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBLLLLLLLLMMMMM      |
   21 |   HHHHHoooooGGGGG     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBLLLLLLLLMMMMM      |
   22 |   HHHHHoooooGGGGG     CCCCCCooooooooooooooooooooooooooooooDDDDDD                   |
   23 | WWKKKKKKKKKKKKKKK     CCCCCCooooooooooooooooooooooooooooooDDDDDD                   |
   24 | WWKKKKKKKKKKKKKKK     CCCCCCooooooooooooooooooooooooooooooDDDDDD                   |
   25 | W¤KKKKKKKKKKKKKKK     CCCCCCooooooooooooooooooooooooooooooDDDDDD                   |
   26 | WWKKKKKKKKKKKKKKK     CCCCCCooooooooooooooooooooooooooooooDDDDDD                   |
   27 | WWKKKKKKKKKKKKKKK     CCCCCCooooooooooooooooooooooooooooooDDDDDD                   |
   28 |                       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                   |
   29 |                       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                   |
   30 |                       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                   |
   31 |                       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                   |
   32 |                       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                   |
   33 |                       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                   |
   34 |                          EEEEEE                                                    |
   35 |                          SSSSSS                                                    |
   36 |                          SSS@SS                                                    |
      82 × 74 cells drawn  ·  82 × 74 cells = 328 × 296 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-a-t2 (piece)   H wool-a-t3 (piece)   
      J wool-a-t4 (piece)   K wool-a-t5 (piece)   L wool-b-t1 (piece)   M wool-b-t2 (piece)   
      N frontline-t1 (piece)   P frontline-t2 (piece)   Q mid-stone-0 (piece)   
      R mid-stone-1 (piece)   S spawn-room (spawn)   V wool-b-room (wool-room)   
      W wool-a-room (wool-room)   ¤ wool   
